signal,horizon,n,hits,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
FA > 20% YoY for 3 yrs,5y,39,25,64.1,28.0,25.1,-45.2,122.7
FA > 20% YoY for 3 yrs,3y,49,31,63.3,27.8,29.2,-62.9,143.8
Reserves CAGR > 25% AND Borrowings CAGR < 0%,5y,59,36,61.0,24.7,23.7,-18.1,122.6
Reserves CAGR > 20% AND Borrowings CAGR < 0%,5y,95,53,55.8,22.8,21.6,-22.0,122.6
Reserves CAGR (5y) > 25%,5y,90,48,53.3,27.5,21.7,-16.0,122.6
FA > 15% YoY for 3 yrs (sustained capex),3y,78,41,52.6,24.0,23.5,-62.9,143.8
FA > 15% YoY for 3 yrs (sustained capex),5y,59,31,52.5,24.8,21.1,-45.2,122.7
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,5y,59,31,52.5,24.1,21.4,-11.9,88.4
Reserves CAGR > 20% AND Borrowings CAGR < 0%,3y,179,93,52.0,27.6,21.0,-34.2,183.3
Reserves CAGR > 25% AND Borrowings CAGR < 0%,3y,118,61,51.7,27.0,23.0,-32.6,183.3
Reserves CAGR > 25% AND Debt/Equity < 0.5,5y,99,51,51.5,24.0,21.4,-18.1,122.6
Reserves CAGR > 25% AND Debt/Equity < 0.1,5y,47,24,51.1,24.5,20.8,-5.7,122.6
Reserves CAGR (5y) > 15%,5y,251,128,51.0,25.5,20.3,-18.7,122.7
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,5y,55,28,50.9,29.6,20.4,-4.9,122.6
Reserves CAGR (5y) > 15%,3y,571,286,50.1,26.3,20.1,-36.9,183.3
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,3y,126,63,50.0,28.4,20.0,-22.5,183.3
FA CAGR > 20% AND Reserves CAGR > 25%,5y,96,48,50.0,22.5,20.0,-45.2,94.0
Reserves CAGR > 25% AND Debt/Equity < 0.3,5y,82,41,50.0,23.8,20.1,-18.1,122.6
Reserves > 15% YoY for 3 yrs,3y,304,151,49.7,23.5,19.7,-62.9,183.3
Reserves CAGR (5y) > 20%,5y,148,73,49.3,25.3,19.5,-16.0,122.6
Reserves CAGR (3y) > 25%,5y,201,98,48.8,20.8,19.1,-45.2,122.6
Reserves CAGR (5y) > 25%,3y,198,96,48.5,26.1,17.6,-28.3,183.3
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,7y,29,14,48.3,23.8,17.8,7.3,53.9
Reserves CAGR (5y) > 20%,3y,330,158,47.9,25.6,19.4,-36.9,183.3
Fixed Assets CAGR (3y) > 25%,5y,230,109,47.4,21.2,19.2,-45.2,122.7
FA > 20% YoY for 3 yrs,7y,17,8,47.1,19.7,17.4,-33.9,48.7
Fixed Assets CAGR (3y) > 15%,5y,443,208,47.0,21.0,19.1,-45.2,130.4
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,3y,181,85,47.0,21.3,19.0,-34.6,183.3
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.3,3y,151,71,47.0,26.6,19.4,-22.5,183.3
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.5,3y,188,88,46.8,25.9,18.3,-22.5,183.3
Fixed Assets CAGR (3y) > 20%,5y,308,143,46.4,20.5,19.0,-45.2,122.7
Reserves CAGR (3y) > 30%,5y,149,69,46.3,20.2,15.6,-45.2,122.6
Reserves CAGR > 30% AND Debt/Equity < 0.3,5y,67,31,46.3,23.6,16.3,-11.9,122.6
FA CAGR > 15% AND Debt/Equity < 0.5,5y,221,102,46.2,20.6,17.8,-22.9,130.4
Reserves CAGR (3y) > 15%,3y,906,416,45.9,22.6,18.0,-64.6,183.3
Reserves CAGR (3y) > 20%,5y,342,157,45.9,20.4,18.8,-45.2,122.6
Fixed Assets CAGR (3y) > 20%,3y,487,223,45.8,22.3,16.5,-64.6,276.6
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.5,5y,83,38,45.8,26.1,18.6,-11.1,122.6
Fixed Assets CAGR (3y) > 15%,3y,691,316,45.7,22.3,17.1,-64.6,276.6
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,3y,158,72,45.6,23.5,18.1,-24.2,132.6
FA CAGR > 15% AND Reserves CAGR > 20%,3y,303,138,45.5,22.5,16.8,-64.6,132.6
TA CAGR > 20% AND Debt/Equity < 0.5,5y,110,50,45.5,21.2,17.3,-17.9,88.4
Reserves CAGR > 25% AND FA CAGR > 10% AND Cash > 10% of TA,3y,55,25,45.5,21.1,19.2,-36.9,132.6
Reserves CAGR > 15% AND Debt/Equity < 0.5,3y,502,228,45.4,23.0,17.8,-34.6,183.3
Total Assets CAGR (3y) > 20%,3y,423,192,45.4,22.3,17.0,-64.6,276.6
Fixed Assets CAGR (3y) > 25%,3y,364,165,45.3,23.1,15.9,-62.9,276.6
Reserves CAGR (3y) > 20%,3y,595,269,45.2,23.0,17.4,-64.6,183.3
Total Assets CAGR (3y) > 20%,5y,241,109,45.2,20.4,18.1,-45.2,122.7
Total Assets CAGR (3y) > 15%,3y,721,325,45.1,22.0,17.1,-64.6,276.6
Reserves CAGR > 25% AND Debt/Equity < 0.5,3y,209,94,45.0,23.2,17.1,-34.6,183.3
FA CAGR > 20% AND Reserves CAGR > 25%,3y,176,79,44.9,23.3,16.5,-64.6,132.6
Reserves CAGR > 25% AND Debt/Equity < 0.3,3y,167,75,44.9,23.8,16.8,-29.3,183.3
Reserves CAGR > 15% AND Debt/Equity < 0.3,3y,395,177,44.8,22.6,17.4,-29.3,183.3
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,3y,203,91,44.8,22.6,17.1,-34.6,132.6
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.3,5y,67,30,44.8,26.0,17.5,-11.1,122.6
FA CAGR > 25% AND Debt/Equity < 0.3,5y,85,38,44.7,20.3,14.8,-17.9,88.4
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,5y,38,17,44.7,20.6,14.9,-11.9,79.1
FA CAGR > 15% AND Reserves CAGR > 20%,5y,177,79,44.6,20.1,17.4,-45.2,94.0
Reserves CAGR (3y) > 25%,3y,366,163,44.5,22.5,16.7,-64.6,183.3
Total Assets CAGR (3y) > 15%,5y,421,187,44.4,20.1,18.3,-45.2,122.7
FA CAGR > 15% AND Debt/Equity < 0.3,5y,180,80,44.4,20.1,16.2,-22.9,130.4
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,3y,122,54,44.3,24.0,16.7,-34.6,132.6
Reserves CAGR (3y) > 15%,5y,529,234,44.2,20.3,17.6,-45.2,130.4
Reserves > 20% YoY for 3 yrs,3y,113,50,44.2,20.5,16.0,-34.6,108.9
Reserves CAGR > 20% AND Debt/Equity < 0.5,3y,323,142,44.0,22.5,17.1,-34.6,183.3
Reserves > 10x Equity Capital,3y,2472,1086,43.9,20.9,16.6,-64.6,219.2
FA CAGR > 20% AND Debt/Equity < 0.3,5y,121,53,43.8,19.9,14.7,-22.9,88.4
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,5y,105,46,43.8,20.2,17.4,-11.9,88.4
FA CAGR > 15% AND Debt/Equity < 0.3,3y,293,128,43.7,22.0,16.3,-26.2,143.4
Reserves CAGR > 20% AND Debt/Equity < 0.3,3y,261,114,43.7,23.0,17.3,-29.3,183.3
Reserves > 25x Equity Capital,3y,1945,847,43.5,20.6,16.6,-64.6,219.2
Cash > 15% of TA AND Debt/Equity < 0.3,3y,377,164,43.5,22.0,16.2,-42.6,197.2
Reserves > 25% YoY for 3 yrs,7y,23,10,43.5,18.9,17.4,-15.3,53.4
Reserves CAGR > 25% AND FA CAGR > 10% AND Cash > 10% of TA,5y,23,10,43.5,26.1,17.4,-14.9,88.4
Debt/Equity < 0.30,3y,1250,543,43.4,21.5,16.2,-53.3,290.2
Reserves CAGR > 20% AND Debt/Equity < 0.5,5y,166,72,43.4,20.7,16.7,-22.0,122.6
FA CAGR > 15% AND Debt/Equity < 0.5,3y,365,158,43.3,21.9,16.5,-34.6,143.4
Debt/Equity < 0.50,3y,1546,668,43.2,21.4,16.3,-59.8,290.2
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,3y,74,32,43.2,19.9,15.6,-34.6,108.9
TA CAGR > 15% AND Debt/Equity < 0.5,5y,202,87,43.1,20.8,16.4,-20.7,122.6
Debt/Equity < 0.05 (debt-free),3y,637,273,42.9,21.2,15.6,-53.3,290.2
Reserves > 50x Equity Capital,3y,1266,541,42.7,18.6,16.4,-64.6,165.3
Reserves CAGR > 15% AND Debt/Equity < 0.5,5y,272,116,42.6,20.8,16.7,-22.0,130.4
Reserves > 25% YoY for 3 yrs,3y,61,26,42.6,19.5,15.3,-34.6,95.9
Cash > 20% of TA AND Debt/Equity < 0.3,3y,273,116,42.5,23.4,14.6,-42.6,197.2
TA CAGR > 15% AND Debt/Equity < 0.5,3y,388,164,42.3,21.4,16.1,-34.6,183.3
Reserves CAGR (3y) > 30%,3y,274,116,42.3,21.5,14.9,-62.9,183.3
TA CAGR > 20% AND Debt/Equity < 0.5,3y,222,94,42.3,21.0,15.5,-34.6,132.6
Reserves CAGR > 30% AND Debt/Equity < 0.3,3y,137,58,42.3,23.5,14.0,-24.2,183.3
Cash > 15% of TA,3y,457,193,42.2,20.6,15.1,-51.2,197.2
FA CAGR > 20% AND Debt/Equity < 0.3,3y,204,86,42.2,21.9,15.3,-26.2,132.6
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,3y,57,24,42.1,20.7,15.3,-24.2,95.9
Cash > 20% of TA,3y,325,136,41.8,22.1,14.0,-51.2,197.2
FA CAGR > 20% AND Reserves CAGR > 25%,7y,48,20,41.7,18.7,17.5,-33.9,53.9
FA CAGR > 15% AND Reserves CAGR > 20%,7y,87,36,41.4,18.1,17.1,-33.9,53.9
Borrowings < 10% of TA,3y,970,399,41.1,20.3,15.0,-42.6,183.3
Reserves > 15% YoY for 3 yrs,5y,190,78,41.1,19.5,16.4,-45.2,122.6
