signal,horizon,n,hits_cagr_ge_20pct,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,5y,9,8,88.9,42.1,25.2,5.8,122.7
FA > 30% YoY for 3 yrs AND Sales CAGR > 15%,5y,7,6,85.7,36.8,32.6,5.8,79.1
FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 25%,5y,7,6,85.7,29.6,22.1,5.8,79.1
FA > 20% YoY 3yrs AND Sales CAGR > 20% AND ROCE > 20%,3y,13,11,84.6,44.6,40.8,-1.5,143.8
FA > 30% YoY for 3 yrs (the v6 winner; pure BS),5y,11,9,81.8,34.2,32.6,5.5,79.1
P/E < 15 AND Sales CAGR > 15%,5y,90,73,81.1,38.4,33.8,-22.0,130.4
FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,5y,10,8,80.0,31.5,23.7,5.8,79.1
FA > 30% YoY for 3 yrs AND NP CAGR > 20%,5y,5,4,80.0,32.2,22.1,5.8,79.1
