signal,horizon,n,hits,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
Reserves > 15% YoY for 3 yrs,5y,190,105,55.3,19.5,16.4,-45.2,122.6
Reserves CAGR > 15% AND Debt/Equity < 0.3,3y,395,218,55.2,22.6,17.4,-29.3,183.3
FA CAGR > 20% AND Reserves CAGR > 25%,5y,96,53,55.2,22.5,20.0,-45.2,94.0
Reserves CAGR (3y) > 15%,3y,906,497,54.9,22.6,18.0,-64.6,183.3
Reserves CAGR > 15% AND Debt/Equity < 0.5,5y,272,149,54.8,20.8,16.7,-22.0,130.4
Reserves CAGR (3y) > 25%,5y,201,110,54.7,20.8,19.1,-45.2,122.6
Reserves CAGR > 25% AND FA CAGR > 10% AND Cash > 10% of TA,3y,55,30,54.5,21.1,19.2,-36.9,132.6
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,3y,158,86,54.4,23.5,18.1,-24.2,132.6
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,5y,103,56,54.4,20.3,15.8,-11.9,122.6
FA CAGR > 25% AND Debt/Equity < 0.3,7y,35,19,54.3,16.1,15.2,1.2,37.4
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,3y,122,66,54.1,24.0,16.7,-34.6,132.6
Reserves CAGR (3y) > 30%,7y,85,46,54.1,17.2,16.0,-33.9,53.9
TA CAGR > 15% AND Debt/Equity < 0.5,5y,202,109,54.0,20.8,16.4,-20.7,122.6
Reserves CAGR (3y) > 20%,3y,595,321,53.9,23.0,17.4,-64.6,183.3
FA CAGR > 15% AND Debt/Equity < 0.5,5y,221,119,53.8,20.6,17.8,-22.9,130.4
Reserves CAGR > 25% AND Debt/Equity < 0.5,7y,52,28,53.8,19.1,16.0,-22.3,53.9
Fixed Assets CAGR (3y) > 15%,3y,691,371,53.7,22.3,17.1,-64.6,276.6
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,3y,203,109,53.7,22.6,17.1,-34.6,132.6
Reserves CAGR > 20% AND Debt/Equity < 0.5,3y,323,173,53.6,22.5,17.1,-34.6,183.3
Reserves CAGR > 20% AND Debt/Equity < 0.3,3y,261,140,53.6,23.0,17.3,-29.3,183.3
Reserves CAGR > 25% AND Debt/Equity < 0.5,3y,209,112,53.6,23.2,17.1,-34.6,183.3
Fixed Assets CAGR (3y) > 20%,7y,135,72,53.3,16.9,15.5,-33.9,61.7
Total Assets CAGR (3y) > 20%,3y,423,225,53.2,22.3,17.0,-64.6,276.6
FA CAGR > 15% AND Debt/Equity < 0.5,3y,365,194,53.2,21.9,16.5,-34.6,143.4
Total Assets CAGR (3y) > 15%,3y,721,383,53.1,22.0,17.1,-64.6,276.6
Reserves > 20% YoY for 3 yrs,3y,113,60,53.1,20.5,16.0,-34.6,108.9
Reserves CAGR > 20% AND Debt/Equity < 0.5,5y,166,88,53.0,20.7,16.7,-22.0,122.6
Reserves > 25x Equity Capital,3y,1945,1028,52.9,20.6,16.6,-64.6,219.2
FA CAGR > 15% AND Debt/Equity < 0.3,3y,293,155,52.9,22.0,16.3,-26.2,143.4
Reserves > 10x Equity Capital,3y,2472,1306,52.8,20.9,16.6,-64.6,219.2
Fixed Assets CAGR (3y) > 20%,3y,487,257,52.8,22.3,16.5,-64.6,276.6
FA CAGR > 20% AND Reserves CAGR > 25%,3y,176,93,52.8,23.3,16.5,-64.6,132.6
Reserves CAGR > 25% AND Debt/Equity < 0.3,3y,167,88,52.7,23.8,16.8,-29.3,183.3
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,3y,74,39,52.7,19.9,15.6,-34.6,108.9
Reserves > 50x Equity Capital,3y,1266,665,52.5,18.6,16.4,-64.6,165.3
Debt/Equity < 0.05 (debt-free),5y,455,239,52.5,19.3,16.0,-41.0,163.3
Reserves CAGR (3y) > 25%,3y,366,192,52.5,22.5,16.7,-64.6,183.3
FA CAGR > 15% AND Reserves CAGR > 20%,3y,303,159,52.5,22.5,16.8,-64.6,132.6
FA CAGR > 15% AND Reserves CAGR > 20%,5y,177,93,52.5,20.1,17.4,-45.2,94.0
Reserves > 20% YoY for 3 yrs,7y,40,21,52.5,17.7,15.1,-17.0,53.9
Reserves CAGR > 15% AND Debt/Equity < 0.3,5y,220,115,52.3,20.2,16.2,-22.0,130.4
Reserves CAGR > 25% AND Debt/Equity < 0.3,7y,44,23,52.3,17.3,15.6,-22.3,53.4
Reserves CAGR (3y) > 25%,7y,113,59,52.2,15.8,15.3,-33.9,53.9
Reserves CAGR > 30% AND Debt/Equity < 0.3,5y,67,35,52.2,23.6,16.3,-11.9,122.6
TA CAGR > 15% AND Debt/Equity < 0.5,3y,388,202,52.1,21.4,16.1,-34.6,183.3
Reserves CAGR > 20% AND Borrowings CAGR < 0%,7y,50,26,52.0,16.5,15.6,-22.8,53.4
Debt/Equity < 0.50,3y,1546,802,51.9,21.4,16.3,-59.8,290.2
Reserves > 25x Equity Capital,5y,1400,725,51.8,18.2,15.8,-47.9,126.0
Debt/Equity < 0.30,3y,1250,648,51.8,21.5,16.2,-53.3,290.2
Reserves CAGR > 20% AND Debt/Equity < 0.3,5y,139,72,51.8,20.3,16.3,-22.0,122.6
Cash > 15% of TA AND Debt/Equity < 0.3,3y,377,195,51.7,22.0,16.2,-42.6,197.2
Fixed Assets CAGR (3y) > 25%,3y,364,188,51.6,23.1,15.9,-62.9,276.6
Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,31,16,51.6,16.6,15.2,-22.3,53.4
Debt/Equity < 0.50,5y,1074,553,51.5,19.1,15.7,-41.0,163.3
Reserves > 10x Equity Capital,5y,1819,935,51.4,18.3,15.6,-47.9,187.7
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,5y,105,54,51.4,20.2,17.4,-11.9,88.4
Debt/Equity < 0.30,5y,866,444,51.3,19.1,15.7,-41.0,163.3
FA CAGR > 15% AND Debt/Equity < 0.3,5y,180,92,51.1,20.1,16.2,-22.9,130.4
Reserves CAGR (3y) > 30%,5y,149,76,51.0,20.2,15.6,-45.2,122.6
Reserves > 50x Equity Capital,5y,874,445,50.9,16.7,15.3,-45.2,123.2
TA CAGR > 20% AND Debt/Equity < 0.5,3y,222,113,50.9,21.0,15.5,-34.6,132.6
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,3y,57,29,50.9,20.7,15.3,-24.2,95.9
Reserves > 20% YoY for 3 yrs,5y,65,33,50.8,19.2,15.1,-19.2,94.0
Reserves > 25% YoY for 3 yrs,3y,61,31,50.8,19.5,15.3,-34.6,95.9
Debt/Equity < 0.05 (debt-free),3y,637,323,50.7,21.2,15.6,-53.3,290.2
Debt/Equity < 0.10,5y,567,286,50.4,18.1,15.1,-41.0,163.3
Reserves > 10x Equity Capital,7y,1252,630,50.3,16.4,15.0,-33.9,76.8
Cash > 15% of TA,3y,457,229,50.1,20.6,15.1,-51.2,197.2
Borrowings < 10% of TA,3y,970,485,50.0,20.3,15.0,-42.6,183.3
Borrowings < 10% of TA,5y,656,328,50.0,18.1,15.0,-33.2,130.4
Reserves CAGR (3y) > 30%,3y,274,137,50.0,21.5,14.9,-62.9,183.3
FA CAGR > 20% AND Debt/Equity < 0.3,3y,204,102,50.0,21.9,15.3,-26.2,132.6
Reserves CAGR > 20% AND Debt/Equity < 0.5,7y,88,44,50.0,16.9,15.1,-22.8,53.9
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,5y,38,19,50.0,20.6,14.9,-11.9,79.1
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,7y,26,13,50.0,18.6,14.4,0.8,53.9
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,7y,18,9,50.0,18.1,13.5,0.8,53.4
Cash+Investments > 30% of TA,3y,732,365,49.9,18.5,14.6,-51.2,183.3
Total Assets CAGR (3y) > 15%,7y,215,107,49.8,15.1,14.9,-33.9,56.0
Borrowings < 5% of TA,5y,499,248,49.7,17.3,14.8,-33.2,130.4
Reserves CAGR (3y) > 20%,7y,183,91,49.7,15.5,14.9,-33.9,53.9
Reserves CAGR > 30% AND Debt/Equity < 0.3,3y,137,68,49.6,23.5,14.0,-24.2,183.3
Reserves CAGR (3y) > 15%,7y,283,140,49.5,15.5,14.9,-33.9,53.9
Cash > 20% of TA AND Debt/Equity < 0.3,3y,273,135,49.5,23.4,14.6,-42.6,197.2
TA > 15% YoY for 3 yrs,5y,103,51,49.5,17.5,14.7,-45.2,79.8
Debt/Equity < 0.50,7y,700,346,49.4,16.5,14.8,-22.8,69.1
FA CAGR > 25% AND Debt/Equity < 0.3,5y,85,42,49.4,20.3,14.8,-17.9,88.4
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,5y,85,42,49.4,19.3,14.7,-11.9,88.4
Reserves > 25x Equity Capital,7y,933,459,49.2,15.7,14.7,-33.9,76.8
Reserves > 100x Equity Capital,5y,417,205,49.2,16.0,14.6,-39.9,123.2
Reserves > 15% YoY for 3 yrs,7y,112,55,49.1,15.7,14.8,-33.9,53.9
Reserves CAGR > 15% AND Debt/Equity < 0.5,7y,145,71,49.0,16.5,14.5,-22.8,53.9
Borrowings < 5% of TA,3y,705,345,48.9,19.4,14.2,-42.6,183.3
FA CAGR > 20% AND Debt/Equity < 0.3,5y,121,59,48.8,19.9,14.7,-22.9,88.4
Reserves > 100x Equity Capital,3y,647,315,48.7,17.5,14.4,-54.1,155.4
FA CAGR > 25% AND Debt/Equity < 0.3,3y,152,74,48.7,22.9,14.5,-26.2,132.6
Reserves CAGR > 25% AND Debt/Equity < 0.1,3y,107,52,48.6,21.5,14.0,-24.2,183.3
Reserves CAGR > 20% AND Debt/Equity < 0.3,7y,72,35,48.6,15.8,14.5,-22.8,53.4
Debt/Equity < 0.10,3y,812,392,48.3,19.7,14.0,-53.3,290.2
Cash > 20% of TA,3y,325,157,48.3,22.1,14.0,-51.2,197.2
Cash+Investments > 20% of TA,3y,1218,586,48.1,17.0,13.7,-64.6,197.2
Reserves CAGR > 25% AND Debt/Equity < 0.1,7y,27,13,48.1,16.1,14.9,0.8,36.0
Cash > 20% of TA AND Debt/Equity < 0.1,3y,222,106,47.7,21.8,13.8,-42.6,183.3
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,7y,59,28,47.5,16.3,13.6,-0.9,53.9
Debt/Equity < 0.30,7y,550,260,47.3,15.8,14.0,-22.8,69.1
Debt/Equity < 0.10,7y,375,176,46.9,15.5,13.8,-15.2,69.1
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,5y,32,15,46.9,19.4,13.6,-11.9,79.1
Cash+Investments > 40% of TA,3y,419,196,46.8,18.4,13.4,-51.2,183.3
Borrowings < 10% of TA,7y,424,198,46.7,15.6,13.7,-22.8,69.1
Cash+Investments > 40% of TA,5y,289,133,46.0,15.5,12.7,-29.5,123.2
Debt/Equity < 0.05 (debt-free),7y,307,141,45.9,15.8,13.3,-14.5,69.1
TA > 15% YoY for 3 yrs,3y,173,79,45.7,16.8,12.1,-64.6,113.0
TA CAGR > 15% AND Debt/Equity < 0.5,7y,105,48,45.7,15.7,13.6,-22.8,53.9
Reserves > 50x Equity Capital,7y,561,256,45.6,14.4,13.8,-33.9,76.8
Cash+Investments > 30% of TA,5y,503,229,45.5,14.8,12.9,-39.8,123.2
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,7y,22,10,45.5,15.8,13.5,0.8,53.4
Reserves CAGR > 15% AND Debt/Equity < 0.3,7y,115,52,45.2,15.2,13.7,-22.8,53.4
Cash > 15% of TA AND Debt/Equity < 0.3,5y,257,116,45.1,17.4,13.9,-23.9,123.2
Borrowings < 5% of TA,7y,334,150,44.9,15.1,13.2,-15.2,69.1
TA > 15% YoY for 3 yrs,7y,58,26,44.8,13.0,13.1,-33.9,53.9
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,3y,47,21,44.7,16.0,10.2,-34.6,95.9
Cash > 15% of TA,5y,312,136,43.6,16.1,13.0,-37.9,123.2
Cash+Investments > 20% of TA,5y,871,377,43.3,14.0,12.0,-51.1,123.2
Cash > 20% of TA AND Debt/Equity < 0.1,5y,156,67,42.9,16.3,12.3,-23.9,123.2
Reserves > 25% YoY for 3 yrs,5y,35,15,42.9,17.4,11.7,-16.0,61.0
Cash > 20% of TA AND Debt/Equity < 0.3,5y,187,80,42.8,16.7,12.6,-23.9,123.2
Cash > 15% of TA,7y,189,79,41.8,13.4,12.9,-23.5,69.1
Cash > 15% of TA AND Debt/Equity < 0.3,7y,153,64,41.8,14.1,12.9,-13.1,69.1
Reserves > 100x Equity Capital,7y,244,101,41.4,13.6,12.9,-28.3,76.8
Cash > 20% of TA,5y,220,91,41.4,15.7,11.9,-29.5,123.2
Cash > 20% of TA,7y,137,56,40.9,13.8,12.9,-17.6,69.1
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,5y,25,10,40.0,17.2,11.3,-11.9,61.0
Cash > 20% of TA AND Debt/Equity < 0.1,7y,101,40,39.6,13.8,11.2,-11.4,69.1
Cash+Investments > 40% of TA,7y,178,70,39.3,13.9,11.9,-13.1,69.1
Cash+Investments > 30% of TA,7y,314,123,39.2,13.4,12.2,-30.9,69.1
Cash > 20% of TA AND Debt/Equity < 0.3,7y,114,44,38.6,13.8,12.0,-11.4,69.1
Cash+Investments > 20% of TA,7y,571,208,36.4,11.9,11.2,-33.9,69.1
