cagr_threshold_pct,signal,horizon,nse_symbol,industry,base_year,stock_price_at_base,forward_cagr_pct,met_target
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,EICHERMOT,AUTOMOBILE,2019,2089.9,17.8,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,HAVELLS,CONSUMER GOODS,2018,487.85,17.7,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,AEGISLOG,,2018,259.6,17.6,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,ASTRAL,INDUSTRIAL MANUFACTURING,2019,516.51,17.5,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,DMART,CONSUMER GOODS,2018,1324.8,17.4,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,AEGISLOG,,2019,200.7,16.9,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,SBILIFE,FINANCIAL SERVICES,2019,616.2,16.3,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,AJANTPHARM,PHARMA,2018,926.9,16.0,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,LALPATHLAB,HEALTHCARE SERVICES,2018,438.15,16.0,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,DMART,CONSUMER GOODS,2019,1472.5,15.2,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,PIIND,FERTILISERS & PESTICIDES,2019,1025.55,14.9,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,LTM,,2019,1673.2,13.3,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,ATUL,CHEMICALS,2018,2613.4,13.0,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,BERGEPAINT,CONSUMER GOODS,2018,213.92,12.9,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,SBILIFE,FINANCIAL SERVICES,2018,678.25,12.5,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,ASIANPAINT,CONSUMER GOODS,2018,1120.4,11.1,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,TEJASNET,,2018,365.65,11.0,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,ERIS,PHARMA,2019,639.85,10.6,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,BRITANNIA,CONSUMER GOODS,2018,2485.3,10.3,Y
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,BRITANNIA,CONSUMER GOODS,2019,3096.55,8.3,N
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,NATCOPHARM,PHARMA,2019,566.0,8.1,N
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,ICICIGI,FINANCIAL SERVICES,2019,1005.3,7.9,N
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,HINDUNILVR,CONSUMER GOODS,2018,1333.35,7.8,N
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,KAJARIACER,CONSTRUCTION,2018,572.55,6.0,N
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,NATCOPHARM,PHARMA,2018,753.65,0.8,N
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,HEROMOTOCO,AUTOMOBILE,2018,3542.8,0.7,N
10,Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,BBTC,CONSUMER GOODS,2019,1283.55,0.4,N
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,DIXON,CONSUMER GOODS,2018,658.21,53.4,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,GALLANTT,,2018,40.3,37.9,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,AMBER,,2019,805.15,34.9,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,AMBER,,2018,1069.4,31.3,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,LTFOODS,,2018,85.0,23.9,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,ASTERDM,HEALTHCARE SERVICES,2019,154.5,23.3,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,TATACOMM,,2018,385.05,22.3,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,PCBL,,2018,108.56,21.5,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,PIIND,FERTILISERS & PESTICIDES,2018,885.2,21.3,Y
