signal,horizon,n,hits,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
Reserves & FA both > 20% YoY for 3 yrs,3y,16,11,68.8,30.1,31.8,-1.5,58.7
Reserves CAGR > 25% AND Borrowings CAGR < 0%,5y,59,36,61.0,24.7,23.7,-18.1,122.6
FA CAGR > 25% AND Reserves CAGR > 25% AND Debt/Equity < 0.5,5y,38,21,55.3,26.0,21.5,-6.5,88.4
Reserves CAGR > 30% AND Borrowings CAGR < 0%,5y,44,24,54.5,23.0,21.3,-11.9,122.6
Reserves CAGR > 25% AND Cash CAGR > 20%,5y,130,70,53.8,23.8,21.7,-45.2,122.6
Reserves CAGR > 20% AND Borrowings CAGR < -10% (deleveraging),5y,69,37,53.6,23.0,21.1,-22.0,122.6
FA CAGR > 25% AND Reserves CAGR > 25% AND Debt/Equity < 0.3,5y,28,15,53.6,27.5,21.2,-4.9,88.4
Reserves CAGR (5y) > 25%,5y,90,48,53.3,27.5,21.7,-16.0,122.6
Reserves CAGR > 30% AND Borrowings CAGR < -10%,5y,30,16,53.3,24.9,20.9,-11.9,122.6
Fixed Assets grew > 15% YoY in each of last 3 years (sustained capex),3y,78,41,52.6,24.0,23.5,-62.9,143.8
Fixed Assets grew > 15% YoY in each of last 3 years (sustained capex),5y,59,31,52.5,24.8,21.1,-45.2,122.7
Reserves CAGR > 30% AND Debt/Equity < 0.5 AND FA CAGR > 15%,7y,25,13,52.0,25.2,20.8,7.3,53.9
Reserves CAGR > 25% AND Borrowings CAGR < 0%,3y,118,61,51.7,27.0,23.0,-32.6,183.3
Reserves CAGR > 25% AND Debt/Equity < 0.5 AND FA CAGR > 10%,5y,68,35,51.5,23.5,21.1,-11.9,88.4
FA CAGR > 25% AND Reserves CAGR > 25%,5y,74,38,51.4,24.0,20.6,-45.2,94.0
Reserves CAGR > 25% AND TA CAGR > 15% AND Debt/Equity < 0.5,5y,84,43,51.2,24.4,21.1,-18.1,122.6
Reserves CAGR > 25% AND Debt/Equity < 0.1,5y,47,24,51.1,24.5,20.8,-5.7,122.6
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,5y,55,28,50.9,29.6,20.4,-4.9,122.6
Reserves CAGR > 20% AND Borrowings CAGR < -10% (deleveraging),3y,128,65,50.8,27.4,20.5,-34.2,183.3
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,3y,126,63,50.0,28.4,20.0,-22.5,183.3
FA CAGR > 20% AND Reserves CAGR > 25%,5y,96,48,50.0,22.5,20.0,-45.2,94.0
Reserves CAGR > 25% AND Debt/Equity < 0.3,5y,82,41,50.0,23.8,20.1,-18.1,122.6
Reserves CAGR > 25% AND Debt/Equity < 0.3 AND FA CAGR > 15%,5y,46,23,50.0,24.0,20.1,-11.9,88.4
Reserves & FA both > 15% YoY for 3 yrs,3y,30,15,50.0,20.0,19.4,-62.9,113.0
Reserves CAGR > 25% AND Cash > 15% of TA,5y,24,12,50.0,31.1,23.1,-10.6,122.6
Reserves grew > 15% YoY in each of last 3 years,3y,304,151,49.7,23.5,19.7,-62.9,183.3
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.3,3y,105,52,49.5,29.2,19.6,-22.5,183.3
Reserves CAGR > 30% AND Debt/Equity < 0.5 AND FA CAGR > 15%,5y,49,24,49.0,24.0,17.4,-11.9,88.4
Reserves CAGR (3y) > 25%,5y,201,98,48.8,20.8,19.1,-45.2,122.6
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.3,5y,43,21,48.8,28.9,19.4,-4.9,122.6
Reserves CAGR (5y) > 25%,3y,198,96,48.5,26.1,17.6,-28.3,183.3
FA CAGR > 25% AND Reserves CAGR > 30%,5y,62,30,48.4,22.8,18.3,-45.2,88.4
Reserves CAGR > 30% AND Cash > 10% of TA,5y,25,12,48.0,31.0,17.4,-10.6,122.6
Reserves CAGR > 25% AND Cash CAGR > 20%,3y,242,116,47.9,25.3,19.3,-64.6,183.3
Reserves & FA both > 15% YoY for 3 yrs,5y,21,10,47.6,17.9,19.3,-45.2,79.1
Fixed Assets CAGR (3y) > 25%,5y,230,109,47.4,21.2,19.2,-45.2,122.7
Reserves CAGR > 25% AND Cash > 15% of TA,3y,55,26,47.3,24.7,19.6,-24.2,183.3
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.3,3y,151,71,47.0,26.6,19.4,-22.5,183.3
Reserves CAGR > 30% AND Borrowings CAGR < -10%,3y,62,29,46.8,25.8,15.1,-24.2,183.3
Reserves CAGR > 30% AND Borrowings CAGR < 0%,3y,90,42,46.7,24.5,16.2,-32.6,183.3
Fixed Assets CAGR (3y) > 30%,5y,181,84,46.4,21.6,19.1,-45.2,122.7
Reserves CAGR (3y) > 30%,5y,149,69,46.3,20.2,15.6,-45.2,122.6
