month,year,month_num,close
Aug 2009,2009,8,5083.95
Sep 2009,2009,9,4711.7
Oct 2009,2009,10,5032.7
Nov 2009,2009,11,5201.05
Dec 2009,2009,12,4882.05
Jan 2010,2010,1,4922.3
Feb 2010,2010,2,5249.1
Mar 2010,2010,3,5278.0
Apr 2010,2010,4,5086.3
May 2010,2010,5,5312.5
Jun 2010,2010,6,5367.6
Jul 2010,2010,7,5402.4
Aug 2010,2010,8,6029.95
Sep 2010,2010,9,6017.7
Oct 2010,2010,10,5862.7
Nov 2010,2010,11,6134.5
Dec 2010,2010,12,5505.9
Jan 2011,2011,1,5333.25
Feb 2011,2011,2,5833.75
Mar 2011,2011,3,5749.5
Apr 2011,2011,4,5473.1
May 2011,2011,5,5647.4
Jun 2011,2011,6,5482.0
Jul 2011,2011,7,5001.0
Aug 2011,2011,8,4943.25
Sep 2011,2011,9,5326.6
Oct 2011,2011,10,4832.05
Nov 2011,2011,11,4624.3
Dec 2011,2011,12,5199.25
Jan 2012,2012,1,5385.2
Feb 2012,2012,2,5295.55
Mar 2012,2012,3,5248.15
Apr 2012,2012,4,4924.25
May 2012,2012,5,5278.9
Jun 2012,2012,6,5229.0
Jul 2012,2012,7,5258.5
Aug 2012,2012,8,5703.3
Sep 2012,2012,9,5619.7
Oct 2012,2012,10,5879.85
Nov 2012,2012,11,5905.1
Dec 2012,2012,12,6034.75
Jan 2013,2013,1,5693.05
Feb 2013,2013,2,5682.55
Mar 2013,2013,3,5930.2
Apr 2013,2013,4,5985.95
May 2013,2013,5,5842.2
Jun 2013,2013,6,5742.0
Jul 2013,2013,7,5471.8
Aug 2013,2013,8,5735.3
Sep 2013,2013,9,6299.15
Oct 2013,2013,10,6176.1
Nov 2013,2013,11,6304.0
Dec 2013,2013,12,6089.5
Jan 2014,2014,1,6276.95
Feb 2014,2014,2,6704.2
Mar 2014,2014,3,6696.4
Apr 2014,2014,4,7229.95
May 2014,2014,5,7611.35
Jun 2014,2014,6,7721.3
Jul 2014,2014,7,7954.35
Aug 2014,2014,8,7964.8
Sep 2014,2014,9,8322.2
Oct 2014,2014,10,8588.25
Nov 2014,2014,11,8282.7
Dec 2014,2014,12,8808.9
Jan 2015,2015,1,8844.6
Feb 2015,2015,2,8491.0
Mar 2015,2015,3,8181.5
Apr 2015,2015,4,8433.65
May 2015,2015,5,8368.5
Jun 2015,2015,6,8532.85
Jul 2015,2015,7,7971.3
Aug 2015,2015,8,7948.9
Sep 2015,2015,9,8065.8
Oct 2015,2015,10,7935.25
Nov 2015,2015,11,7946.35
Dec 2015,2015,12,7563.55
Jan 2016,2016,1,6987.05
Feb 2016,2016,2,7738.4
Mar 2016,2016,3,7849.8
Apr 2016,2016,4,8160.1
May 2016,2016,5,8287.75
Jun 2016,2016,6,8638.5
Jul 2016,2016,7,8786.2
Aug 2016,2016,8,8611.15
Sep 2016,2016,9,8638.0
