,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Reserves,,552.0,493.0,536.0,602.0,1004.0,1035.0,1049.0,1114.0,1220.0,1477.0,1816.0,2382.0
Borrowings,,765.0,601.0,356.0,489.0,532.0,539.0,458.0,560.0,766.0,889.0,961.0,905.0
Other Liabilities,,862.0,1336.0,973.0,1282.0,1044.0,1533.0,1669.0,1925.0,3013.0,3534.0,3710.0,3782.0
Total Liabilities,,2195.0,2445.0,1881.0,2388.0,2597.0,3125.0,3192.0,3616.0,5017.0,5917.0,6505.0,7086.0
Fixed Assets,,335.0,349.0,385.0,462.0,529.0,624.0,601.0,655.0,847.0,1081.0,1074.0,1168.0
CWIP,,3.0,3.0,6.0,38.0,7.0,5.0,53.0,2.0,117.0,10.0,21.0,22.0
Investments,,0.0,0.0,1.0,1.0,1.0,255.0,194.0,113.0,45.0,5.0,42.0,0.0
Other Assets,,1856.0,2093.0,1489.0,1887.0,2060.0,2241.0,2344.0,2847.0,4007.0,4821.0,5367.0,5897.0
Total Assets,,2195.0,2445.0,1881.0,2388.0,2597.0,3125.0,3192.0,3616.0,5017.0,5917.0,6505.0,7086.0
Land,Fixed Assets,0.15,5.49,5.5,5.5,5.5,14.52,22.3,9.28,12.31,13.33,19.43,
Building,Fixed Assets,15.53,15.18,18.57,25.47,27.96,69.63,69.84,115.6,112.16,120.42,118.8,
Plant Machinery,Fixed Assets,461.82,487.32,390.28,504.0,631.41,757.96,812.66,900.04,1167.63,1553.59,1605.86,
Equipments,Fixed Assets,86.79,93.39,1.84,2.56,3.08,3.2,3.56,3.94,4.1,4.78,4.73,
Computers,Fixed Assets,0.0,0.0,2.02,3.84,9.15,9.89,10.83,11.96,14.8,15.39,17.83,
Furniture n fittings,Fixed Assets,0.0,0.0,0.43,0.43,0.77,0.89,1.18,1.45,1.44,1.4,1.36,
Vehicles,Fixed Assets,5.82,5.85,3.01,3.51,3.61,3.2,3.6,6.09,8.41,8.47,8.05,
Other fixed assets,Fixed Assets,0.0,-0.01,0.0,0.0,8.09,9.98,10.07,10.07,10.07,10.05,0.0,
Gross Block,Fixed Assets,570.11,607.22,421.65,545.31,689.57,869.27,934.04,1058.43,1330.92,1727.43,1776.06,
Accumulated Depreciation,Fixed Assets,234.86,258.24,36.3,83.55,160.14,245.43,332.75,403.52,483.44,646.42,701.73,
Long term Borrowings,Borrowings,40.0,12.0,41.0,25.0,17.0,17.0,87.0,87.0,168.0,133.0,118.0,93.0
Short term Borrowings,Borrowings,681.0,562.0,293.0,422.0,504.0,444.0,322.0,428.0,556.0,729.0,815.0,774.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,65.0,48.0,45.0,41.0,27.0,28.0,38.0
Other Borrowings,Borrowings,44.0,27.0,22.0,42.0,11.0,13.0,0.0,-0.0,-0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,0.0
Trade Payables,Other Liabilities,417.0,754.0,614.0,620.0,559.0,657.0,727.0,937.0,1334.0,1433.0,1775.0,2190.0
Advance from Customers,Other Liabilities,355.0,465.0,149.0,344.0,241.0,499.0,563.0,578.0,1066.0,1178.0,950.0,
Other liability items,Other Liabilities,89.0,117.0,209.0,317.0,242.0,374.0,376.0,406.0,609.0,919.0,981.0,1592.0
Inventories,Other Assets,1131.0,1175.0,111.0,157.0,246.0,289.0,337.0,400.0,577.0,684.0,642.0,751.0
Trade receivables,Other Assets,413.0,309.0,215.0,240.0,436.0,585.0,531.0,622.0,1080.0,1211.0,1607.0,1295.0
Cash Equivalents,Other Assets,27.0,148.0,165.0,116.0,109.0,281.0,207.0,491.0,630.0,896.0,708.0,949.0
Loans n Advances,Other Assets,27.0,44.0,46.0,35.0,363.0,59.0,63.0,72.0,182.0,119.0,115.0,72.0
Other asset items,Other Assets,258.0,417.0,953.0,1338.0,905.0,1026.0,1205.0,1262.0,1538.0,1911.0,2296.0,2830.0
