,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,100.0,100.0,100.0,6325.0,6325.0,6325.0,6325.0,6325.0
Reserves,,710.0,902.0,6784.0,5012.0,39908.0,76422.0,120901.0,170280.0
Borrowings,,269401.0,253414.0,4.0,1.0,0.0,0.0,0.0,1.0
Other Liabilities,,3157039.0,3245419.0,3822637.0,4242719.0,4532258.0,5233300.0,5533342.0,5771950.0
Total Liabilities,,3427249.0,3499834.0,3829524.0,4254058.0,4578491.0,5316047.0,5660568.0,5948556.0
Fixed Assets,,25194.0,28216.0,17723.0,17770.0,20473.0,20667.0,21330.0,4757.0
CWIP,,710.0,734.0,148.0,199.0,331.0,403.0,326.0,0.0
Investments,,2900287.0,2976100.0,3517445.0,3926211.0,4243008.0,4976133.0,5298429.0,5580356.0
Other Assets,,501059.0,494784.0,294208.0,309878.0,314678.0,318844.0,340483.0,363444.0
Total Assets,,3427249.0,3499834.0,3829524.0,4254058.0,4578491.0,5316047.0,5660568.0,5948556.0
Land,Fixed Assets,3476.5,2555.53,178.33,235.22,171.89,143.54,130.99,
Building,Fixed Assets,7270.66,7436.46,3099.84,3251.44,3421.4,3663.98,3924.3,
Equipments,Fixed Assets,841.21,801.12,302.87,298.96,341.55,348.56,356.98,
Computers,Fixed Assets,2.59,2.54,2.53,14.62,0.0,0.0,0.0,
Furniture n fittings,Fixed Assets,946.85,932.64,496.59,513.46,533.68,571.3,622.17,
Vehicles,Fixed Assets,817.65,906.31,986.57,1092.92,1207.1,1367.65,1423.22,
Intangible Assets,Fixed Assets,3351.66,3328.45,0.0,0.0,0.0,0.0,0.0,0.0
Other fixed assets,Fixed Assets,14346.63,17859.82,16209.47,16277.16,18988.68,19042.26,19682.29,
Gross Block,Fixed Assets,31053.75,33822.87,21276.2,21683.78,24664.3,25137.29,26139.95,
Accumulated Depreciation,Fixed Assets,5860.22,5606.54,3553.7,3913.81,4191.03,4470.02,4809.48,
Long term Borrowings,Borrowings,0.0,253413.6,0.0,0.0,0.0,0.0,0.0,1.02
Other Borrowings,Borrowings,269400.6,0.0,3.67,1.29,0.0,0.0,0.0,
Non controlling int,Other Liabilities,88.0,96.0,99.0,120.0,117.0,153.0,277.0,275.0
Trade Payables,Other Liabilities,10505.0,15523.0,16225.0,6764.0,7588.0,11193.0,3944.0,0.0
Other liability items,Other Liabilities,3146446.0,3229799.0,3806312.0,4235835.0,4524553.0,5221955.0,5529121.0,5771675.0
Cash Equivalents,Other Assets,67900.0,63153.0,36078.0,44724.0,45499.0,41824.0,69885.0,72013.0
Loans n Advances,Other Assets,46146.0,54775.0,21175.0,20879.0,10171.0,5845.0,437.0,291430.0
Other asset items,Other Assets,387013.0,376856.0,236954.0,244274.0,259008.0,271175.0,270161.0,0.0
