,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,5.0,5.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0
Reserves,,157.0,203.0,270.0,354.0,458.0,535.0,647.0,785.0,947.0
Borrowings,,33.0,146.0,161.0,141.0,183.0,248.0,259.0,320.0,423.0
Other Liabilities,,39.0,53.0,46.0,41.0,62.0,61.0,66.0,158.0,127.0
Total Liabilities,,234.0,406.0,482.0,541.0,713.0,853.0,983.0,1274.0,1507.0
Fixed Assets,,119.0,259.0,272.0,268.0,370.0,524.0,742.0,865.0,1070.0
CWIP,,3.0,3.0,10.0,9.0,34.0,28.0,9.0,70.0,34.0
Investments,,73.0,69.0,55.0,28.0,54.0,139.0,109.0,185.0,228.0
Other Assets,,39.0,76.0,146.0,236.0,255.0,163.0,123.0,154.0,174.0
Total Assets,,234.0,406.0,482.0,541.0,713.0,853.0,983.0,1274.0,1507.0
Land,Fixed Assets,2.0,2.0,2.0,2.0,46.0,46.0,46.0,46.0,
Building,Fixed Assets,31.0,162.0,184.0,202.0,271.0,362.0,400.0,496.0,
Plant Machinery,Fixed Assets,93.0,149.0,165.0,188.0,216.0,305.0,37.0,41.0,
Equipments,Fixed Assets,1.0,2.0,2.0,2.0,3.0,5.0,355.0,431.0,
Computers,Fixed Assets,2.0,4.0,5.0,6.0,7.0,11.0,13.0,15.0,
Furniture n fittings,Fixed Assets,12.0,18.0,23.0,26.0,34.0,54.0,66.0,75.0,
Vehicles,Fixed Assets,2.0,3.0,4.0,4.0,3.0,6.0,6.0,7.0,
Intangible Assets,Fixed Assets,7.0,7.0,5.0,5.0,5.0,5.0,133.0,133.0,140.0
Other fixed assets,Fixed Assets,1.0,2.0,3.0,3.0,4.0,6.0,13.0,16.0,
Gross Block,Fixed Assets,152.0,349.0,392.0,437.0,589.0,800.0,1069.0,1261.0,
Accumulated Depreciation,Fixed Assets,33.0,89.0,121.0,169.0,219.0,276.0,327.0,396.0,
Long term Borrowings,Borrowings,26.0,32.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,0.0,111.0,128.0,137.0,183.0,248.0,259.0,320.0,423.0
Other Borrowings,Borrowings,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,-1.0,-0.0,-0.0,0.0,1.0,2.0,3.0,3.0,0.0
Trade Payables,Other Liabilities,18.0,22.0,22.0,22.0,22.0,28.0,33.0,33.0,38.0
Advance from Customers,Other Liabilities,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,21.0,32.0,25.0,19.0,39.0,31.0,30.0,121.0,90.0
Inventories,Other Assets,2.0,2.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0
Trade receivables,Other Assets,8.0,9.0,8.0,7.0,10.0,9.0,16.0,15.0,21.0
Cash Equivalents,Other Assets,18.0,53.0,118.0,194.0,192.0,116.0,73.0,49.0,53.0
Loans n Advances,Other Assets,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,48.0
Other asset items,Other Assets,10.0,10.0,15.0,30.0,44.0,30.0,24.0,79.0,48.0
