,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
Reserves,,1745.0,2110.0,2398.0,2706.0,2973.0,3384.0,3891.0,4340.0,4915.0,5465.0,6055.0
Borrowings,,51.0,1.0,1.0,1.0,8.0,7.0,9.0,14.0,18.0,20.0,19.0
Other Liabilities,,272.0,297.0,354.0,417.0,395.0,464.0,563.0,596.0,671.0,771.0,885.0
Total Liabilities,,2099.0,2440.0,2784.0,3154.0,3407.0,3886.0,4494.0,4980.0,5635.0,6287.0,6990.0
Fixed Assets,,432.0,415.0,409.0,404.0,387.0,394.0,380.0,435.0,444.0,583.0,850.0
CWIP,,3.0,8.0,5.0,10.0,27.0,26.0,87.0,21.0,168.0,210.0,105.0
Investments,,881.0,1159.0,1523.0,1767.0,1121.0,1571.0,2014.0,2610.0,3584.0,3986.0,4195.0
Other Assets,,783.0,857.0,847.0,973.0,1872.0,1894.0,2013.0,1915.0,1439.0,1507.0,1840.0
Total Assets,,2099.0,2440.0,2784.0,3154.0,3407.0,3886.0,4494.0,4980.0,5635.0,6287.0,6990.0
Land,Fixed Assets,29.18,29.18,45.26,50.36,51.59,51.67,51.93,51.93,61.56,63.85,
Building,Fixed Assets,167.34,167.47,167.97,169.46,169.62,191.79,191.86,202.61,202.61,263.98,
Plant Machinery,Fixed Assets,277.61,307.05,322.0,348.17,357.24,380.57,390.32,466.08,497.84,558.39,
Equipments,Fixed Assets,2.06,2.15,2.94,3.33,3.39,3.46,3.52,4.3,4.26,4.9,
Computers,Fixed Assets,2.96,2.35,2.51,2.91,3.17,3.73,4.32,7.66,6.88,7.88,
Furniture n fittings,Fixed Assets,2.21,2.29,2.3,2.39,2.66,2.75,3.44,3.53,3.66,3.96,
Vehicles,Fixed Assets,4.91,4.84,5.04,3.99,3.9,3.54,2.17,1.28,0.56,0.57,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67
Other fixed assets,Fixed Assets,0.47,1.51,1.51,1.51,11.27,11.78,14.87,24.53,31.93,37.42,
Gross Block,Fixed Assets,486.74,516.84,549.53,582.12,602.84,649.29,662.43,761.92,809.3,940.95,
Accumulated Depreciation,Fixed Assets,54.55,101.97,140.54,177.91,216.31,254.86,282.25,326.97,364.8,357.53,
Long term Borrowings,Borrowings,25.75,0.38,0.55,0.38,0.34,0.31,0.28,0.25,0.81,0.8,0.79
Short term Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.07,0.07,0.07
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,7.56,6.36,8.48,13.33,17.18,19.12,18.28
Other Borrowings,Borrowings,25.46,0.86,0.29,0.17,0.04,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,90.0,188.0,177.0,208.0,159.0,176.0,190.0,209.0,234.0,242.0,222.0
Advance from Customers,Other Liabilities,0.0,8.0,8.0,8.0,22.0,28.0,41.0,40.0,29.0,45.0,
Other liability items,Other Liabilities,182.0,101.0,169.0,200.0,214.0,260.0,332.0,347.0,408.0,485.0,663.0
Inventories,Other Assets,329.0,462.0,499.0,587.0,593.0,755.0,653.0,675.0,576.0,717.0,1023.0
Trade receivables,Other Assets,126.0,124.0,175.0,211.0,187.0,177.0,177.0,218.0,177.0,243.0,370.0
Cash Equivalents,Other Assets,219.0,176.0,104.0,49.0,934.0,54.0,38.0,73.0,98.0,145.0,168.0
Loans n Advances,Other Assets,0.0,1.0,0.0,1.0,1.0,-0.0,-1.0,-1.0,2.0,-1.0,142.0
Other asset items,Other Assets,109.0,94.0,69.0,125.0,157.0,909.0,1145.0,949.0,586.0,402.0,136.0
