,parent_line_item,Mar 2020,Mar 2021
Equity Capital,,0.6,10.0
Reserves,,201.0,330.0
Borrowings,,79.0,53.0
Other Liabilities,,95.0,143.0
Total Liabilities,,375.0,536.0
Fixed Assets,,107.0,139.0
CWIP,,2.0,3.0
Investments,,34.0,37.0
Other Assets,,232.0,358.0
Total Assets,,375.0,536.0
Land,Fixed Assets,3.0,20.0
Building,Fixed Assets,30.0,42.0
Plant Machinery,Fixed Assets,87.0,106.0
Equipments,Fixed Assets,1.0,2.0
Computers,Fixed Assets,0.0,0.0
Furniture n fittings,Fixed Assets,1.0,2.0
Vehicles,Fixed Assets,3.0,5.0
Other fixed assets,Fixed Assets,0.0,0.0
Gross Block,Fixed Assets,125.0,177.0
Accumulated Depreciation,Fixed Assets,18.0,38.0
Long term Borrowings,Borrowings,36.93,28.67
Short term Borrowings,Borrowings,40.64,22.88
Lease Liabilities,Borrowings,0.01,0.06
Other Borrowings,Borrowings,1.5,1.5
Non controlling int,Other Liabilities,1.0,0.0
Trade Payables,Other Liabilities,52.0,60.0
Advance from Customers,Other Liabilities,0.0,0.0
Other liability items,Other Liabilities,42.0,84.0
Inventories,Other Assets,69.0,118.0
Trade receivables,Other Assets,118.0,144.0
Cash Equivalents,Other Assets,15.0,70.0
Loans n Advances,Other Assets,5.0,1.0
Other asset items,Other Assets,25.0,24.0
