,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,104.0,104.0,104.0,104.0,104.0,121.0,121.0
Reserves,,1088.0,1753.0,1804.0,1796.0,2486.0,4390.0,4940.0
Borrowings,,10593.0,9732.0,7915.0,9014.0,8536.0,10976.0,19896.0
Other Liabilities,,3675.0,900.0,973.0,1113.0,2080.0,2654.0,3583.0
Total Liabilities,,15460.0,12489.0,10797.0,12027.0,13207.0,18140.0,28540.0
Fixed Assets,,9650.0,8984.0,6177.0,6631.0,6758.0,12315.0,15732.0
CWIP,,220.0,97.0,1273.0,2147.0,2828.0,1362.0,4358.0
Investments,,0.0,25.0,25.0,23.0,150.0,275.0,275.0
Other Assets,,5590.0,3383.0,3322.0,3226.0,3471.0,4188.0,8176.0
Total Assets,,15460.0,12489.0,10797.0,12027.0,13207.0,18140.0,28540.0
Land,Fixed Assets,426.71,443.14,282.98,283.65,186.54,200.99,
Building,Fixed Assets,3.2,3.2,3.2,3.2,3.2,3.2,
Plant Machinery,Fixed Assets,10494.16,10330.01,7673.62,8595.85,8371.76,13939.58,
Equipments,Fixed Assets,0.2,0.2,0.2,0.2,0.2,0.23,
Furniture n fittings,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.13,
Vehicles,Fixed Assets,0.26,0.26,0.26,0.29,0.29,0.29,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Other fixed assets,Fixed Assets,506.08,523.04,501.12,522.17,473.47,741.72,
Gross Block,Fixed Assets,11430.61,11299.85,8461.38,9405.36,9035.46,14886.14,
Accumulated Depreciation,Fixed Assets,1780.26,2315.62,2284.27,2774.42,2277.54,2571.0,
Long term Borrowings,Borrowings,9225.0,8226.0,6951.0,8099.0,7696.0,9857.0,16740.0
Short term Borrowings,Borrowings,889.0,1140.0,613.0,558.0,521.0,566.0,2248.0
Lease Liabilities,Borrowings,0.0,366.0,351.0,356.0,319.0,553.0,908.0
Other Borrowings,Borrowings,479.0,0.0,0.0,0.0,-0.0,0.0,
Non controlling int,Other Liabilities,650.0,0.0,100.0,30.0,0.0,-1.0,-1.0
Trade Payables,Other Liabilities,50.0,150.0,273.0,62.0,74.0,225.0,15.0
Advance from Customers,Other Liabilities,0.0,0.0,1.0,0.0,0.0,1.0,
Other liability items,Other Liabilities,2975.0,750.0,599.0,1021.0,2006.0,2429.0,3569.0
Inventories,Other Assets,0.0,0.0,0.0,0.0,0.0,4.0,17.0
Trade receivables,Other Assets,673.0,723.0,827.0,699.0,421.0,381.0,333.0
Cash Equivalents,Other Assets,660.0,943.0,763.0,1338.0,1315.0,2916.0,6158.0
Loans n Advances,Other Assets,137.0,375.0,439.0,539.0,1120.0,285.0,316.0
Other asset items,Other Assets,4120.0,1343.0,1293.0,649.0,615.0,602.0,1351.0
