,parent_line_item,Mar 2026
Equity Capital,,736.0
Reserves,,11998.0
Borrowings,,5615.0
Other Liabilities,,33960.0
Total Liabilities,,52309.0
Fixed Assets,,15276.0
CWIP,,712.0
Investments,,13283.0
Other Assets,,23038.0
Total Assets,,52309.0
Intangible Assets,Fixed Assets,3428.0
Long term Borrowings,Borrowings,1344.0
Short term Borrowings,Borrowings,3473.0
Lease Liabilities,Borrowings,798.0
Trade Payables,Other Liabilities,13484.0
Other liability items,Other Liabilities,20476.0
Inventories,Other Assets,5448.0
Trade receivables,Other Assets,2721.0
Cash Equivalents,Other Assets,7776.0
Loans n Advances,Other Assets,4449.0
Other asset items,Other Assets,2644.0
