,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,56.0,60.0,60.0,60.0,60.0,60.0,360.0,410.0,415.0,417.0
Reserves,,1798.0,2553.0,2827.0,2488.0,2831.0,3212.0,3635.0,7616.0,9282.0,10460.0
Borrowings,,1599.0,1732.0,2051.0,3103.0,3946.0,4740.0,4568.0,4758.0,5042.0,6899.0
Other Liabilities,,628.0,840.0,762.0,1085.0,1286.0,1165.0,750.0,909.0,2068.0,2582.0
Total Liabilities,,4082.0,5185.0,5701.0,6736.0,8123.0,9177.0,9312.0,13694.0,16807.0,20358.0
Fixed Assets,,2730.0,3186.0,3256.0,3948.0,4924.0,6134.0,5975.0,7757.0,9523.0,10568.0
CWIP,,380.0,633.0,862.0,752.0,1125.0,80.0,46.0,132.0,2020.0,3147.0
Investments,,95.0,28.0,230.0,376.0,296.0,283.0,307.0,244.0,183.0,25.0
Other Assets,,877.0,1338.0,1352.0,1660.0,1779.0,2681.0,2985.0,5560.0,5081.0,6618.0
Total Assets,,4082.0,5185.0,5701.0,6736.0,8123.0,9177.0,9312.0,13694.0,16807.0,20358.0
Land,Fixed Assets,336.0,340.0,340.0,349.0,496.0,588.0,379.0,647.0,1573.0,
Building,Fixed Assets,1189.0,1344.0,1643.0,1929.0,2136.0,2108.0,1110.0,1843.0,2167.0,
Plant Machinery,Fixed Assets,773.0,1168.0,1181.0,1673.0,1675.0,1832.0,1723.0,2186.0,2589.0,
Ships Vessels,Fixed Assets,0.0,87.0,87.0,187.0,187.0,187.0,1644.0,1681.0,1808.0,
Equipments,Fixed Assets,2.0,4.0,5.0,6.0,8.0,11.0,11.0,12.0,15.0,
Computers,Fixed Assets,1.0,1.0,1.0,1.0,2.0,2.0,6.0,7.0,10.0,
Furniture n fittings,Fixed Assets,4.0,5.0,6.0,7.0,7.0,8.0,9.0,11.0,14.0,
Railway sidings,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,131.0,
Vehicles,Fixed Assets,3.0,4.0,5.0,5.0,5.0,5.0,6.0,11.0,186.0,
Intangible Assets,Fixed Assets,575.0,82.0,0.0,0.0,36.0,36.0,36.0,698.0,744.0,3077.0
Other fixed assets,Fixed Assets,3.0,463.0,469.0,470.0,1303.0,2600.0,2590.0,2608.0,2795.0,
Gross Block,Fixed Assets,2885.0,3498.0,3738.0,4628.0,5855.0,7376.0,7515.0,9731.0,12032.0,
Accumulated Depreciation,Fixed Assets,155.0,312.0,481.0,680.0,931.0,1242.0,1540.0,1974.0,2509.0,
Long term Borrowings,Borrowings,943.0,1364.0,2000.0,2611.0,3390.0,4095.0,4095.0,4270.0,4439.0,5952.0
Short term Borrowings,Borrowings,544.0,316.0,0.0,106.0,90.0,314.0,148.0,110.0,220.0,458.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,331.0,324.0,378.0,383.0,489.0
Other Borrowings,Borrowings,111.0,52.0,51.0,386.0,465.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,157.0,192.0,197.0,203.0,197.0,200.0,94.0,205.0,792.0,815.0
Trade Payables,Other Liabilities,39.0,220.0,117.0,205.0,261.0,275.0,302.0,356.0,349.0,374.0
Advance from Customers,Other Liabilities,1.0,0.0,22.0,5.0,22.0,38.0,27.0,33.0,37.0,
Other liability items,Other Liabilities,432.0,429.0,427.0,672.0,805.0,652.0,327.0,314.0,890.0,1392.0
Inventories,Other Assets,34.0,50.0,76.0,125.0,99.0,85.0,102.0,112.0,134.0,147.0
Trade receivables,Other Assets,198.0,294.0,308.0,502.0,412.0,601.0,402.0,677.0,809.0,1058.0
Cash Equivalents,Other Assets,45.0,328.0,102.0,163.0,314.0,1038.0,1632.0,4090.0,2482.0,2318.0
Loans n Advances,Other Assets,95.0,226.0,366.0,310.0,336.0,545.0,29.0,53.0,43.0,950.0
Other asset items,Other Assets,504.0,440.0,501.0,559.0,618.0,411.0,820.0,628.0,1614.0,2145.0
