,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,113.0,113.0,113.0,113.0,113.0,679.0,679.0
Reserves,,6279.0,6473.0,5388.0,4243.0,3659.0,5291.0,6987.0
Borrowings,,0.0,0.0,0.0,318.0,370.0,428.0,459.0
Other Liabilities,,2810.0,4472.0,3918.0,4321.0,4356.0,5119.0,5512.0
Total Liabilities,,9202.0,11059.0,9419.0,8995.0,8498.0,11517.0,13636.0
Fixed Assets,,835.0,1049.0,1048.0,1343.0,1319.0,1329.0,1561.0
CWIP,,85.0,34.0,103.0,25.0,24.0,75.0,457.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,8282.0,9976.0,8269.0,7628.0,7155.0,10113.0,11618.0
Total Assets,,9202.0,11059.0,9419.0,8995.0,8498.0,11517.0,13636.0
Land,Fixed Assets,11.5,11.5,11.5,11.52,11.5,11.5,
Building,Fixed Assets,298.9,601.6,290.8,703.43,792.52,889.49,
Plant Machinery,Fixed Assets,0.0,0.0,0.0,2058.97,2203.27,2359.19,
Equipments,Fixed Assets,1486.9,1592.9,1763.7,145.72,170.69,205.02,
Furniture n fittings,Fixed Assets,20.0,24.6,29.2,32.82,36.73,38.95,
Vehicles,Fixed Assets,14.6,18.5,23.9,25.23,30.65,32.17,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,12.16
Other fixed assets,Fixed Assets,24.5,29.0,364.9,37.04,38.65,43.77,
Gross Block,Fixed Assets,1856.4,2278.1,2484.0,3014.73,3284.01,3580.09,
Accumulated Depreciation,Fixed Assets,1021.6,1229.2,1436.5,1671.94,1965.16,2250.98,
Lease Liabilities,Borrowings,0.0,0.0,0.0,318.0,370.0,428.0,459.0
Trade Payables,Other Liabilities,2111.0,3340.0,2598.0,3063.0,2976.0,3367.0,3513.0
Advance from Customers,Other Liabilities,103.0,104.0,0.0,28.0,25.0,23.0,
Other liability items,Other Liabilities,596.0,1028.0,1320.0,1229.0,1356.0,1729.0,1998.0
Inventories,Other Assets,2222.0,2642.0,2409.0,2644.0,2397.0,3031.0,2962.0
Trade receivables,Other Assets,501.0,1060.0,1381.0,1500.0,1797.0,2361.0,2825.0
Cash Equivalents,Other Assets,4811.0,5511.0,3709.0,2763.0,2223.0,3741.0,4476.0
Loans n Advances,Other Assets,38.0,30.0,30.0,29.0,27.0,28.0,174.0
Other asset items,Other Assets,710.0,734.0,739.0,692.0,711.0,950.0,1181.0
