,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4883.0,4883.0,4883.0,6712.0,6712.0,8328.0,8329.0
Reserves,,702.0,1149.0,1858.0,3791.0,5521.0,11619.0,14194.0
Borrowing,,25600.0,31601.0,41492.0,53745.0,69129.0,82072.0,103704.0
Other Liabilities,,187.0,226.0,293.0,406.0,464.0,790.0,920.0
Total Liabilities,,31372.0,37858.0,48527.0,64654.0,81827.0,102809.0,127147.0
Fixed Assets,,86.0,79.0,97.0,113.0,123.0,141.0,154.0
CWIP,,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Investments,,2508.0,3266.0,1248.0,2001.0,1939.0,2533.0,2502.0
Other Assets,,28779.0,34513.0,47180.0,62540.0,79765.0,100134.0,124491.0
Total Assets,,31372.0,37858.0,48527.0,64654.0,81827.0,102809.0,127147.0
Building,Fixed Assets,14.62,60.99,80.27,98.64,108.01,133.15,
Equipments,Fixed Assets,11.79,13.54,14.53,14.82,14.36,15.01,
Computers,Fixed Assets,15.96,14.7,22.9,25.16,30.69,33.95,
Furniture n fittings,Fixed Assets,10.64,10.81,11.74,12.99,13.88,10.36,
Vehicles,Fixed Assets,6.92,8.44,11.37,19.04,28.63,34.55,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,43.27
Other fixed assets,Fixed Assets,54.68,19.02,27.91,43.47,60.29,76.57,
Gross Block,Fixed Assets,114.61,127.5,168.72,214.12,255.86,303.59,
Accumulated Depreciation,Fixed Assets,28.83,48.61,71.52,101.13,133.0,163.02,
Trade Payables,Other Liabilities,31.0,21.0,36.0,46.0,58.0,76.0,126.0
Other liability items,Other Liabilities,156.0,205.0,257.0,360.0,407.0,714.0,794.0
Trade receivables,Other Assets,118.0,311.0,2.0,2.0,13.0,22.0,28.0
Cash Equivalents,Other Assets,659.0,717.0,407.0,109.0,64.0,62.0,166.0
Loans n Advances,Other Assets,27987.0,17.0,19.0,11.0,38.0,86.0,123745.0
Other asset items,Other Assets,15.0,33469.0,46753.0,62418.0,79649.0,99964.0,552.0
