,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,150.0,150.0,200.0,242.0,315.0,357.0,357.0,357.0,357.0,357.0
Reserves,,3799.0,3967.0,4788.0,5037.0,7009.0,8464.0,8482.0,8626.0,8645.0,9872.0
Borrowings,,4314.0,4369.0,4683.0,4513.0,7792.0,5575.0,4785.0,4404.0,4074.0,4916.0
Other Liabilities,,3022.0,3133.0,3590.0,3652.0,4792.0,5218.0,5364.0,5323.0,5082.0,5154.0
Total Liabilities,,11285.0,11619.0,13262.0,13444.0,19907.0,19615.0,18988.0,18710.0,18158.0,20299.0
Fixed Assets,,8916.0,8690.0,9895.0,9970.0,15042.0,15409.0,14962.0,15027.0,14702.0,14686.0
CWIP,,143.0,144.0,605.0,647.0,1240.0,399.0,596.0,488.0,387.0,2474.0
Investments,,412.0,844.0,456.0,0.0,384.0,186.0,0.0,1.0,1.0,1.0
Other Assets,,1814.0,1942.0,2306.0,2827.0,3241.0,3621.0,3430.0,3194.0,3067.0,3137.0
Total Assets,,11285.0,11619.0,13262.0,13444.0,19907.0,19615.0,18988.0,18710.0,18158.0,20299.0
Land,Fixed Assets,703.0,727.0,855.0,862.0,1589.0,1610.0,1633.0,1681.0,1709.0,
Building,Fixed Assets,1306.0,1334.0,1593.0,1636.0,2151.0,2310.0,2349.0,2528.0,2568.0,
Plant Machinery,Fixed Assets,5159.0,5229.0,6725.0,7210.0,9853.0,10851.0,11031.0,11582.0,11698.0,
Equipments,Fixed Assets,32.0,32.0,41.0,43.0,86.0,89.0,137.0,158.0,170.0,
Furniture n fittings,Fixed Assets,8.0,8.0,19.0,21.0,33.0,38.0,39.0,43.0,64.0,
Railway sidings,Fixed Assets,652.0,655.0,658.0,661.0,662.0,678.0,688.0,688.0,719.0,
Vehicles,Fixed Assets,3.0,4.0,21.0,21.0,25.0,26.0,26.0,32.0,35.0,
Intangible Assets,Fixed Assets,3802.0,3802.0,2951.0,2951.0,4083.0,4083.0,4083.0,4113.0,4113.0,5260.0
Other fixed assets,Fixed Assets,1048.0,1076.0,1092.0,1096.0,1814.0,1822.0,1915.0,1919.0,1928.0,
Gross Block,Fixed Assets,12714.0,12868.0,13953.0,14501.0,20294.0,21507.0,21900.0,22744.0,23004.0,
Accumulated Depreciation,Fixed Assets,3798.0,4178.0,4058.0,4531.0,5253.0,6097.0,6938.0,7716.0,8302.0,
Long term Borrowings,Borrowings,4298.0,3206.0,3318.0,2931.0,5561.0,4183.0,3325.0,2878.0,2363.0,3033.0
Short term Borrowings,Borrowings,16.0,1163.0,0.0,661.0,2081.0,1215.0,1292.0,1259.0,1459.0,1508.0
Lease Liabilities,Borrowings,0.0,0.0,57.0,50.0,150.0,176.0,167.0,267.0,251.0,375.0
Other Borrowings,Borrowings,0.0,0.0,1308.0,871.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,740.0,666.0,765.0,786.0,870.0,1193.0,1703.0,1686.0,1587.0,1643.0
Advance from Customers,Other Liabilities,70.0,52.0,58.0,80.0,110.0,130.0,151.0,144.0,111.0,
Other liability items,Other Liabilities,2213.0,2415.0,2768.0,2787.0,3812.0,3895.0,3510.0,3492.0,3383.0,3511.0
Inventories,Other Assets,361.0,430.0,585.0,603.0,712.0,1068.0,1050.0,947.0,762.0,745.0
Trade receivables,Other Assets,444.0,415.0,500.0,511.0,454.0,571.0,601.0,591.0,660.0,744.0
Cash Equivalents,Other Assets,77.0,39.0,125.0,511.0,528.0,149.0,203.0,107.0,182.0,96.0
Loans n Advances,Other Assets,20.0,22.0,118.0,89.0,171.0,178.0,168.0,151.0,137.0,504.0
Other asset items,Other Assets,912.0,1035.0,979.0,1113.0,1376.0,1655.0,1407.0,1399.0,1326.0,1048.0
