,parent_line_item,Dec 2010
Equity Capital,,48.0
Reserves,,955.0
Borrowings,,896.0
Other Liabilities,,2570.0
Total Liabilities,,4468.0
Fixed Assets,,872.0
CWIP,,22.0
Investments,,0.0
Other Assets,,3574.0
Total Assets,,4468.0
Land,Fixed Assets,63.0
Building,Fixed Assets,430.0
Plant Machinery,Fixed Assets,552.0
Furniture n fittings,Fixed Assets,116.0
Vehicles,Fixed Assets,2.0
Intangible Assets,Fixed Assets,32.0
Gross Block,Fixed Assets,1195.0
Accumulated Depreciation,Fixed Assets,323.0
Other Borrowings,Borrowings,896.0
Trade Payables,Other Liabilities,908.0
Advance from Customers,Other Liabilities,495.0
Other liability items,Other Liabilities,1167.0
Inventories,Other Assets,481.0
Trade receivables,Other Assets,2140.0
Cash Equivalents,Other Assets,120.0
Loans n Advances,Other Assets,16.0
Other asset items,Other Assets,817.0
