,parent_line_item,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Equity Capital,,43.0,44.0,44.0,284.0
Reserves,,606.0,794.0,1022.0,1703.0
Borrowing,,2478.0,3588.0,6232.0,7071.0
Other Liabilities,,249.0,397.0,634.0,753.0
Total Liabilities,,3377.0,4823.0,7933.0,9812.0
Fixed Assets,,23.0,24.0,30.0,36.0
CWIP,,0.0,0.0,0.0,240.0
Investments,,65.0,65.0,89.0,2150.0
Other Assets,,3289.0,4733.0,7813.0,7386.0
Total Assets,,3377.0,4823.0,7933.0,9812.0
Building,Fixed Assets,9.0,9.0,9.0,7.0
Equipments,Fixed Assets,8.0,13.0,22.0,29.0
Furniture n fittings,Fixed Assets,7.0,9.0,12.0,12.0
Other fixed assets,Fixed Assets,9.0,11.0,14.0,18.0
Gross Block,Fixed Assets,33.0,42.0,58.0,66.0
Accumulated Depreciation,Fixed Assets,10.0,18.0,27.0,30.0
Non controlling int,Other Liabilities,0.0,0.0,4.0,0.0
Other liability items,Other Liabilities,249.0,397.0,630.0,753.0
Cash Equivalents,Other Assets,3.0,225.0,430.0,624.0
Loans n Advances,Other Assets,13.0,12.0,8.0,27.0
Other asset items,Other Assets,3272.0,4496.0,7375.0,6734.0
