,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,313.0,214.0,404.0,404.0
Reserves,,895.0,766.0,1206.0,794.0
Borrowings,,31.0,15.0,20.0,51.0
Other Liabilities,,1190.0,1140.0,1202.0,1288.0
Total Liabilities,,2429.0,2135.0,2831.0,2537.0
Fixed Assets,,631.0,608.0,582.0,582.0
CWIP,,18.0,37.0,31.0,58.0
Investments,,1.0,1.0,0.0,0.0
Other Assets,,1779.0,1490.0,2218.0,1897.0
Total Assets,,2429.0,2135.0,2831.0,2537.0
Land,Fixed Assets,31.02,31.02,31.02,
Building,Fixed Assets,178.8,180.38,194.65,
Plant Machinery,Fixed Assets,754.44,824.28,869.86,
Equipments,Fixed Assets,0.98,1.01,0.94,
Computers,Fixed Assets,17.35,23.26,29.59,
Furniture n fittings,Fixed Assets,7.27,7.82,9.49,
Vehicles,Fixed Assets,4.89,5.68,6.88,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.81
Other fixed assets,Fixed Assets,9.45,9.9,10.16,
Gross Block,Fixed Assets,1004.2,1083.35,1152.59,
Accumulated Depreciation,Fixed Assets,373.34,475.81,570.72,
Short term Borrowings,Borrowings,14.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,17.0,15.0,20.0,51.0
Other Borrowings,Borrowings,0.0,0.0,-0.0,
Non controlling int,Other Liabilities,1.0,1.0,2.0,3.0
Trade Payables,Other Liabilities,946.0,921.0,893.0,1038.0
Advance from Customers,Other Liabilities,25.0,25.0,35.0,
Other liability items,Other Liabilities,217.0,193.0,272.0,247.0
Inventories,Other Assets,395.0,329.0,278.0,338.0
Trade receivables,Other Assets,563.0,560.0,687.0,635.0
Cash Equivalents,Other Assets,413.0,184.0,286.0,571.0
Loans n Advances,Other Assets,33.0,74.0,41.0,13.0
Other asset items,Other Assets,376.0,344.0,926.0,339.0
