,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
Reserves,,1669.0,2019.0,2437.0,2731.0,3231.0,3393.0,3562.0,3823.0,4034.0
Borrowings,,0.0,0.0,0.0,51.0,134.0,112.0,231.0,284.0,71.0
Other Liabilities,,1429.0,1566.0,1837.0,2139.0,2142.0,2268.0,2165.0,2489.0,3153.0
Total Liabilities,,3226.0,3712.0,4400.0,5048.0,5634.0,5900.0,6084.0,6723.0,7384.0
Fixed Assets,,446.0,508.0,709.0,707.0,1803.0,1917.0,1932.0,1913.0,1960.0
CWIP,,33.0,43.0,44.0,41.0,76.0,20.0,21.0,49.0,203.0
Investments,,456.0,659.0,567.0,207.0,0.0,0.0,0.0,0.0,0.0
Other Assets,,2291.0,2501.0,3080.0,4093.0,3754.0,3963.0,4131.0,4761.0,5221.0
Total Assets,,3226.0,3712.0,4400.0,5048.0,5634.0,5900.0,6084.0,6723.0,7384.0
Land,Fixed Assets,17.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,
Building,Fixed Assets,75.0,85.0,173.0,221.0,357.0,405.0,530.0,596.0,
Plant Machinery,Fixed Assets,540.0,673.0,864.0,920.0,983.0,1193.0,1237.0,1291.0,
Equipments,Fixed Assets,65.0,85.0,95.0,106.0,125.0,137.0,142.0,148.0,
Furniture n fittings,Fixed Assets,3.0,3.0,4.0,5.0,31.0,38.0,43.0,47.0,
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,748.0,748.0,748.0,748.0,946.0
Other fixed assets,Fixed Assets,10.0,11.0,13.0,21.0,279.0,284.0,285.0,285.0,
Gross Block,Fixed Assets,711.0,874.0,1167.0,1290.0,2543.0,2826.0,3006.0,3135.0,
Accumulated Depreciation,Fixed Assets,266.0,366.0,458.0,583.0,740.0,909.0,1074.0,1222.0,
Lease Liabilities,Borrowings,0.0,0.0,0.0,51.0,134.0,112.0,231.0,284.0,71.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,143.0,148.0,155.0,41.0,0.0
Trade Payables,Other Liabilities,1153.0,1236.0,1429.0,1655.0,1482.0,1641.0,1378.0,1700.0,1873.0
Other liability items,Other Liabilities,276.0,330.0,408.0,484.0,518.0,480.0,632.0,748.0,1279.0
Inventories,Other Assets,810.0,889.0,1166.0,1274.0,1311.0,1508.0,1247.0,1326.0,1509.0
Trade receivables,Other Assets,240.0,256.0,322.0,379.0,430.0,433.0,340.0,510.0,740.0
Cash Equivalents,Other Assets,982.0,1061.0,1284.0,2063.0,1616.0,1681.0,2235.0,2560.0,2553.0
Loans n Advances,Other Assets,-3.0,-32.0,0.0,-26.0,-26.0,-16.0,47.0,43.0,29.0
Other asset items,Other Assets,261.0,328.0,309.0,403.0,422.0,356.0,262.0,322.0,391.0
