,parent_line_item,Dec 2005,Dec 2006
Equity Capital,,40.0,40.0
Reserves,,250.0,294.0
Borrowings,,120.0,112.0
Other Liabilities,,436.0,468.0
Total Liabilities,,846.0,914.0
Fixed Assets,,161.0,153.0
CWIP,,8.0,4.0
Investments,,4.0,4.0
Other Assets,,674.0,754.0
Total Assets,,846.0,914.0
Land,Fixed Assets,2.0,6.0
Building,Fixed Assets,83.0,86.0
Plant Machinery,Fixed Assets,172.0,179.0
Equipments,Fixed Assets,37.0,34.0
Computers,Fixed Assets,4.0,4.0
Furniture n fittings,Fixed Assets,13.0,13.0
Vehicles,Fixed Assets,13.0,15.0
Intangible Assets,Fixed Assets,11.0,11.0
Gross Block,Fixed Assets,334.0,347.0
Accumulated Depreciation,Fixed Assets,173.0,195.0
Other Borrowings,Borrowings,120.0,112.0
Trade Payables,Other Liabilities,162.0,162.0
Other liability items,Other Liabilities,275.0,306.0
Inventories,Other Assets,178.0,191.0
Trade receivables,Other Assets,171.0,216.0
Cash Equivalents,Other Assets,32.0,27.0
Loans n Advances,Other Assets,241.0,274.0
Other asset items,Other Assets,52.0,45.0
