,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,181.0,181.0,181.0,181.0,181.0,181.0,189.0,190.0
Reserves,,1654.0,1731.0,2092.0,1807.0,2320.0,2771.0,4257.0,4760.0
Borrowings,,2128.0,2327.0,2310.0,2217.0,2334.0,2335.0,1023.0,1558.0
Other Liabilities,,1613.0,1721.0,2184.0,1816.0,1798.0,2422.0,2653.0,3104.0
Total Liabilities,,5577.0,5960.0,6768.0,6021.0,6634.0,7709.0,8122.0,9612.0
Fixed Assets,,2247.0,2382.0,2188.0,2044.0,2147.0,3125.0,3197.0,3420.0
CWIP,,581.0,485.0,302.0,320.0,411.0,159.0,177.0,172.0
Investments,,0.0,0.0,0.0,25.0,25.0,318.0,95.0,20.0
Other Assets,,2749.0,3093.0,4278.0,3632.0,4050.0,4108.0,4652.0,6001.0
Total Assets,,5577.0,5960.0,6768.0,6021.0,6634.0,7709.0,8122.0,9612.0
Land,Fixed Assets,96.0,93.0,4.0,182.0,187.0,210.0,219.0,
Building,Fixed Assets,596.0,771.0,558.0,583.0,644.0,776.0,878.0,
Plant Machinery,Fixed Assets,1061.0,1197.0,1406.0,1453.0,1635.0,2006.0,2161.0,
Equipments,Fixed Assets,18.0,19.0,20.0,20.0,23.0,27.0,29.0,
Computers,Fixed Assets,48.0,56.0,62.0,69.0,78.0,117.0,126.0,
Furniture n fittings,Fixed Assets,194.0,217.0,44.0,270.0,313.0,400.0,430.0,
Vehicles,Fixed Assets,21.0,21.0,22.0,31.0,36.0,37.0,40.0,
Intangible Assets,Fixed Assets,652.0,675.0,714.0,344.0,345.0,761.0,891.0,1101.0
Other fixed assets,Fixed Assets,418.0,474.0,419.0,520.0,542.0,718.0,710.0,
Gross Block,Fixed Assets,3104.0,3523.0,3249.0,3472.0,3802.0,5052.0,5485.0,
Accumulated Depreciation,Fixed Assets,857.0,1141.0,1061.0,1428.0,1656.0,1928.0,2288.0,
Long term Borrowings,Borrowings,688.0,553.0,704.0,717.0,744.0,767.0,190.0,252.0
Short term Borrowings,Borrowings,1087.0,1271.0,1253.0,1366.0,1451.0,1321.0,542.0,952.0
Lease Liabilities,Borrowings,0.0,157.0,0.0,134.0,139.0,248.0,291.0,354.0
Other Borrowings,Borrowings,354.0,345.0,354.0,0.0,0.0,0.0,-0.0,
Non controlling int,Other Liabilities,65.0,72.0,95.0,127.0,149.0,169.0,195.0,27.0
Trade Payables,Other Liabilities,685.0,741.0,972.0,1125.0,1086.0,1309.0,1480.0,1771.0
Advance from Customers,Other Liabilities,0.0,0.0,12.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,863.0,908.0,1105.0,564.0,564.0,943.0,978.0,1307.0
Inventories,Other Assets,1128.0,1173.0,1514.0,1449.0,1383.0,1525.0,1932.0,2398.0
Trade receivables,Other Assets,972.0,1145.0,1475.0,1309.0,1648.0,1859.0,2002.0,2563.0
Cash Equivalents,Other Assets,104.0,164.0,524.0,313.0,458.0,232.0,165.0,148.0
Loans n Advances,Other Assets,57.0,74.0,63.0,175.0,102.0,100.0,91.0,41.0
Other asset items,Other Assets,488.0,537.0,702.0,386.0,459.0,391.0,462.0,852.0
