,parent_line_item,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Reserves,,4535.0,7220.0,8637.0,9734.0,10833.0,12210.0,13409.0,14028.0,14703.0,16699.0,18484.0,20970.0
Borrowings,,1903.0,2464.0,2333.0,2163.0,2506.0,1854.0,2388.0,3229.0,3014.0,2822.0,3771.0,3207.0
Other Liabilities,,3391.0,3566.0,4075.0,4577.0,5098.0,5373.0,6780.0,5799.0,6648.0,7325.0,7307.0,7772.0
Total Liabilities,,9833.0,13254.0,15048.0,16478.0,18441.0,19442.0,22582.0,23060.0,24369.0,26849.0,29567.0,31954.0
Fixed Assets,,3436.0,4608.0,5502.0,6092.0,6786.0,8870.0,9441.0,9522.0,10118.0,12046.0,13221.0,12966.0
CWIP,,628.0,1059.0,848.0,1079.0,1403.0,1741.0,1002.0,1233.0,3046.0,2385.0,1169.0,1034.0
Investments,,1081.0,3138.0,3382.0,4145.0,3855.0,1519.0,5874.0,3656.0,3085.0,3383.0,4548.0,3398.0
Other Assets,,4688.0,4448.0,5316.0,5162.0,6397.0,7312.0,6265.0,8648.0,8120.0,9036.0,10629.0,14555.0
Total Assets,,9833.0,13254.0,15048.0,16478.0,18441.0,19442.0,22582.0,23060.0,24369.0,26849.0,29567.0,31954.0
Land,Fixed Assets,349.9,494.93,610.97,612.84,625.89,670.39,677.33,678.2,684.01,707.3,713.02,
Building,Fixed Assets,977.36,1090.24,1436.53,1774.16,1923.51,3079.66,3475.65,3704.93,4292.26,5106.49,5671.79,
Plant Machinery,Fixed Assets,4276.93,3239.15,4004.91,4751.1,5737.94,7314.17,8421.08,9213.63,10104.7,12203.57,14074.84,
Equipments,Fixed Assets,456.61,243.55,348.54,428.88,535.08,673.56,746.76,869.13,973.32,1161.12,1299.2,
Computers,Fixed Assets,43.94,20.6,29.89,32.53,35.82,46.0,53.97,56.73,66.82,79.57,90.65,
Furniture n fittings,Fixed Assets,22.45,10.46,14.31,17.7,21.16,25.83,33.55,36.8,39.09,42.37,49.33,
Vehicles,Fixed Assets,30.9,21.39,25.6,28.84,125.81,148.76,162.84,179.82,214.24,230.86,240.85,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9
Other fixed assets,Fixed Assets,182.86,144.69,260.66,324.85,392.44,468.35,507.38,548.17,598.47,695.87,783.09,
Gross Block,Fixed Assets,6340.95,5265.01,6731.41,7970.9,9397.65,12426.72,14078.56,15287.41,16972.91,20227.15,22922.77,
Accumulated Depreciation,Fixed Assets,2905.09,656.72,1229.17,1878.73,2611.65,3556.96,4637.81,5765.59,6854.94,8180.93,9701.99,
Long term Borrowings,Borrowings,1199.0,1486.0,1238.0,1319.0,1055.0,779.0,812.0,817.0,824.0,724.0,374.0,176.0
Short term Borrowings,Borrowings,616.0,886.0,834.0,691.0,1048.0,731.0,1209.0,2001.0,1606.0,1351.0,2530.0,2191.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,368.0,411.0,584.0,746.0,866.0,840.0
Other Borrowings,Borrowings,88.0,92.0,260.0,152.0,404.0,344.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,1150.0,1126.0,1408.0,1569.0,1709.0,1905.0,3306.0,2057.0,2436.0,2653.0,2822.0,3211.0
Advance from Customers,Other Liabilities,37.0,31.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,2203.0,2408.0,2631.0,3008.0,3388.0,3468.0,3474.0,3742.0,4212.0,4672.0,4485.0,4561.0
Inventories,Other Assets,1826.0,1900.0,2425.0,2197.0,2993.0,2905.0,2939.0,4130.0,4141.0,4469.0,5625.0,5417.0
Trade receivables,Other Assets,1715.0,1839.0,1969.0,2150.0,2383.0,2299.0,2146.0,2333.0,2503.0,2912.0,3370.0,3542.0
Cash Equivalents,Other Assets,728.0,124.0,343.0,233.0,104.0,1181.0,169.0,256.0,258.0,345.0,376.0,2183.0
Loans n Advances,Other Assets,32.0,52.0,64.0,64.0,49.0,57.0,70.0,75.0,80.0,98.0,111.0,2050.0
Other asset items,Other Assets,387.0,533.0,515.0,518.0,867.0,869.0,940.0,1855.0,1138.0,1212.0,1146.0,1364.0
