,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,,807.0,890.0,1072.0,1085.0
Reserves,,480.0,838.0,1706.0,2105.0
Borrowing,,2940.0,3739.0,3996.0,5264.0
Other Liabilities,,288.0,280.0,289.0,141.0
Total Liabilities,,4515.0,5746.0,7063.0,8596.0
Fixed Assets,,299.0,296.0,300.0,308.0
CWIP,,0.0,1.0,2.0,1.0
Investments,,848.0,607.0,406.0,327.0
Other Assets,,3368.0,4843.0,6355.0,7960.0
Total Assets,,4515.0,5746.0,7063.0,8596.0
Building,Fixed Assets,27.0,23.0,31.0,40.0
Equipments,Fixed Assets,5.0,7.0,9.0,10.0
Computers,Fixed Assets,6.0,9.0,13.0,16.0
Furniture n fittings,Fixed Assets,23.0,23.0,23.0,22.0
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0
Intangible Assets,Fixed Assets,260.0,260.0,260.0,260.0
Other fixed assets,Fixed Assets,6.0,6.0,6.0,9.0
Gross Block,Fixed Assets,328.0,328.0,344.0,358.0
Accumulated Depreciation,Fixed Assets,29.0,31.0,44.0,50.0
Trade Payables,Other Liabilities,8.0,9.0,11.0,9.0
Other liability items,Other Liabilities,280.0,271.0,277.0,132.0
Trade receivables,Other Assets,8.0,11.0,15.0,15.0
Cash Equivalents,Other Assets,335.0,401.0,487.0,429.0
Loans n Advances,Other Assets,36.0,11.0,10.0,8.0
Other asset items,Other Assets,2988.0,4420.0,5844.0,7509.0
