,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,3399.0,3404.0,4782.0,4810.0,5676.0,6218.0,6618.0,7070.0,7322.0,8602.0
Reserves,,11278.0,11870.0,13418.0,10594.0,12224.0,14864.0,19229.0,25204.0,30834.0,38514.0
Deposits,,40098.0,48039.0,70354.0,65079.0,88536.0,105540.0,144470.0,200570.0,252010.0,294312.0
Borrowing,,50262.0,57287.0,69983.0,57397.0,45786.0,52963.0,57212.0,50936.0,38984.0,36633.0
Other Liabilities,,7027.0,5781.0,8563.0,11279.0,10849.0,10561.0,12353.0,12430.0,14759.0,21714.0
Total Liabilities,,112064.0,126382.0,167099.0,149159.0,163072.0,190146.0,239882.0,296210.0,343909.0,399775.0
Fixed Assets,,933.0,797.0,940.0,999.0,1370.0,1448.0,2054.0,2720.0,2802.0,2626.0
CWIP,,6.0,3.0,34.0,74.0,65.0,79.0,219.0,95.0,74.0,0.0
Investments,,50164.0,60904.0,58245.0,45174.0,45182.0,45935.0,60913.0,74500.0,80505.0,85646.0
Other Assets,,60962.0,64677.0,107880.0,102911.0,116454.0,142684.0,176696.0,218895.0,260528.0,311503.0
Total Assets,,112064.0,126382.0,167099.0,149159.0,163072.0,190146.0,239882.0,296210.0,343909.0,399775.0
Building,Fixed Assets,300.57,300.68,4260.75,4612.82,287.32,287.32,287.32,33.25,29.37,
Other fixed assets,Fixed Assets,915.8,917.99,0.0,0.0,5007.8,5412.62,3811.26,5257.63,6059.85,
Gross Block,Fixed Assets,1216.37,1218.67,4260.75,4612.82,5295.12,5699.94,4098.58,5290.88,6089.22,
Accumulated Depreciation,Fixed Assets,283.75,421.8,3320.82,3614.05,3924.8,4252.33,2044.42,2571.18,3287.02,
Trade Payables,Other Liabilities,110.0,165.0,132.0,383.0,916.0,1109.0,1194.0,1015.0,1399.0,0.0
Other liability items,Other Liabilities,6917.0,5617.0,8430.0,10896.0,9934.0,9452.0,11158.0,11415.0,13360.0,21714.0
Cash Equivalents,Other Assets,2959.0,2948.0,3918.0,2877.0,4168.0,10672.0,9908.0,10059.0,13261.0,11311.0
Loans n Advances,Other Assets,659.0,1009.0,916.0,1064.0,533.0,432.0,440.0,576.0,543.0,280391.0
Other asset items,Other Assets,57344.0,60720.0,103046.0,98970.0,111753.0,131580.0,166347.0,208260.0,246723.0,19801.0
