,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,20.0,20.0,276.0,334.0
Reserves,,-2532.0,-2846.0,3280.0,6070.0
Borrowings,,3883.0,4453.0,4142.0,1811.0
Other Liabilities,,4504.0,5434.0,568.0,709.0
Total Liabilities,,5876.0,7062.0,8266.0,8924.0
Fixed Assets,,5259.0,6212.0,6305.0,7853.0
CWIP,,27.0,39.0,131.0,229.0
Investments,,0.0,0.0,14.0,0.0
Other Assets,,589.0,811.0,1816.0,841.0
Total Assets,,5876.0,7062.0,8266.0,8924.0
Land,Fixed Assets,2992.0,3080.0,3132.0,
Building,Fixed Assets,1668.0,2318.0,2384.0,
Plant Machinery,Fixed Assets,216.0,277.0,326.0,
Equipments,Fixed Assets,0.0,0.0,0.0,
Computers,Fixed Assets,12.0,14.0,17.0,
Furniture n fittings,Fixed Assets,17.0,35.0,52.0,
Vehicles,Fixed Assets,18.0,23.0,26.0,
Intangible Assets,Fixed Assets,268.0,543.0,543.0,629.0
Other fixed assets,Fixed Assets,256.0,239.0,269.0,
Gross Block,Fixed Assets,5447.0,6530.0,6750.0,
Accumulated Depreciation,Fixed Assets,187.0,318.0,445.0,
Long term Borrowings,Borrowings,3549.0,3904.0,3586.0,1315.0
Short term Borrowings,Borrowings,147.0,339.0,323.0,241.0
Lease Liabilities,Borrowings,187.0,211.0,233.0,254.0
Other Borrowings,Borrowings,0.0,0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,48.0,49.0
Trade Payables,Other Liabilities,44.0,60.0,61.0,75.0
Advance from Customers,Other Liabilities,38.0,51.0,56.0,
Other liability items,Other Liabilities,4422.0,5324.0,403.0,585.0
Inventories,Other Assets,26.0,31.0,27.0,32.0
Trade receivables,Other Assets,70.0,73.0,89.0,79.0
Cash Equivalents,Other Assets,255.0,375.0,288.0,286.0
Loans n Advances,Other Assets,19.0,29.0,73.0,95.0
Other asset items,Other Assets,219.0,303.0,1339.0,350.0
