,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0
Reserves,,8030.0,8233.0,8625.0,9168.0,10344.0,11356.0,12511.0,14121.0,13950.0,16142.0,18367.0,20363.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,102.0,126.0,153.0,355.0,430.0,429.0
Other Liabilities,,4464.0,4379.0,4581.0,5490.0,5524.0,5592.0,5399.0,6604.0,6252.0,6701.0,6428.0,6546.0
Total Liabilities,,12682.0,12800.0,13394.0,14846.0,16056.0,17136.0,18200.0,21039.0,20544.0,23386.0,25413.0,27525.0
Fixed Assets,,5666.0,5331.0,7568.0,7280.0,7088.0,7027.0,6694.0,6750.0,7512.0,10025.0,10829.0,11256.0
CWIP,,1956.0,2396.0,261.0,269.0,398.0,446.0,548.0,1216.0,1684.0,986.0,2061.0,2227.0
Investments,,1385.0,1314.0,117.0,95.0,104.0,116.0,129.0,150.0,163.0,811.0,1509.0,55.0
Other Assets,,3675.0,3759.0,5448.0,7202.0,8466.0,9547.0,10828.0,12923.0,11185.0,11564.0,11013.0,13987.0
Total Assets,,12682.0,12800.0,13394.0,14846.0,16056.0,17136.0,18200.0,21039.0,20544.0,23386.0,25413.0,27525.0
Land,Fixed Assets,,478.0,470.0,475.0,480.0,515.0,594.0,631.0,779.0,854.0,1876.0,
Building,Fixed Assets,,1467.0,1581.0,1615.0,1662.0,1718.0,1786.0,1891.0,2029.0,2346.0,2594.0,
Plant Machinery,Fixed Assets,,9060.0,5762.0,5992.0,6311.0,6707.0,6932.0,7391.0,8534.0,10409.0,11035.0,
Equipments,Fixed Assets,,133.0,46.0,53.0,59.0,66.0,71.0,85.0,94.0,98.0,124.0,
Furniture n fittings,Fixed Assets,,46.0,23.0,26.0,27.0,30.0,34.0,35.0,46.0,46.0,53.0,
Railway sidings,Fixed Assets,,182.0,196.0,246.0,255.0,259.0,276.0,284.0,301.0,381.0,384.0,
Vehicles,Fixed Assets,,62.0,51.0,57.0,69.0,88.0,95.0,100.0,109.0,406.0,411.0,
Intangible Assets,Fixed Assets,,59.0,16.0,16.0,16.0,16.0,10.0,4.0,4.0,345.0,395.0,672.0
Other fixed assets,Fixed Assets,,59.0,31.0,47.0,49.0,49.0,65.0,74.0,175.0,474.0,447.0,
Gross Block,Fixed Assets,,11547.0,8177.0,8527.0,8927.0,9447.0,9863.0,10496.0,12070.0,15360.0,17317.0,
Accumulated Depreciation,Fixed Assets,,6216.0,609.0,1247.0,1839.0,2420.0,3169.0,3747.0,4558.0,5335.0,6487.0,
Lease Liabilities,Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,126.0,153.0,355.0,430.0,429.0
Other Borrowings,Borrowings,,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0
Trade Payables,Other Liabilities,,878.0,1258.0,1814.0,1926.0,1475.0,1422.0,1905.0,1640.0,1925.0,1638.0,2454.0
Advance from Customers,Other Liabilities,,138.0,202.0,189.0,227.0,157.0,148.0,252.0,170.0,259.0,178.0,
Other liability items,Other Liabilities,,3361.0,3117.0,3485.0,3368.0,3957.0,3825.0,4444.0,4439.0,4514.0,4608.0,4088.0
Inventories,Other Assets,,1189.0,1225.0,1405.0,1679.0,1142.0,901.0,1274.0,1624.0,1869.0,1925.0,1789.0
Trade receivables,Other Assets,,484.0,533.0,666.0,867.0,627.0,451.0,462.0,869.0,828.0,1163.0,3842.0
Cash Equivalents,Other Assets,,94.0,1977.0,2729.0,3097.0,4648.0,6006.0,7522.0,415.0,1863.0,1649.0,558.0
Loans n Advances,Other Assets,,0.0,158.0,463.0,354.0,469.0,374.0,357.0,1603.0,849.0,1280.0,1644.0
Other asset items,Other Assets,,1991.0,1555.0,1939.0,2468.0,2662.0,3096.0,3307.0,6673.0,6156.0,4995.0,6155.0
