,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,785.0,785.0,785.0,785.0,785.0,2688.0,2688.0,2809.0
Reserves,,1643.0,1661.0,1800.0,1737.0,2211.0,5872.0,7579.0,10976.0
Borrowing,,12777.0,14985.0,18753.0,21854.0,24000.0,49687.0,64740.0,77846.0
Other Liabilities,,3592.0,2937.0,3181.0,3277.0,3298.0,4354.0,4728.0,2177.0
Total Liabilities,,18797.0,20368.0,24518.0,27652.0,30293.0,62600.0,79735.0,93808.0
Fixed Assets,,318.0,314.0,303.0,282.0,266.0,361.0,349.0,321.0
CWIP,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,,0.0,1.0,0.0,1.0,1.0,101.0,600.0,884.0
Other Assets,,18479.0,20050.0,24215.0,27370.0,30027.0,62138.0,78786.0,92603.0
Total Assets,,18797.0,20368.0,24518.0,27652.0,30293.0,62600.0,79735.0,93808.0
Land,Fixed Assets,0.0,0.0,0.0,0.0,4.33,4.33,4.33,
Building,Fixed Assets,48.01,21.1,21.1,22.82,22.82,187.13,187.4,
Plant Machinery,Fixed Assets,273.02,308.18,316.31,316.31,316.31,293.91,293.91,
Equipments,Fixed Assets,0.31,1.58,1.62,3.36,3.05,13.01,25.66,
Computers,Fixed Assets,1.18,1.03,4.92,4.93,5.72,7.14,11.92,
Furniture n fittings,Fixed Assets,0.99,0.8,0.88,0.92,0.93,7.45,13.87,
Vehicles,Fixed Assets,0.34,0.39,0.56,0.56,0.56,1.59,1.4,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57
Other fixed assets,Fixed Assets,0.5,2.21,2.23,0.52,0.54,9.91,11.84,
Gross Block,Fixed Assets,324.35,335.29,347.62,349.42,354.26,524.47,550.33,
Accumulated Depreciation,Fixed Assets,6.84,21.32,44.65,67.38,88.11,163.37,201.54,
Trade Payables,Other Liabilities,138.0,139.0,126.0,66.0,80.0,7.0,9.0,5.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,15.0,13.0,1.0,1.0,
Other liability items,Other Liabilities,3454.0,2798.0,3055.0,3197.0,3205.0,4346.0,4718.0,2172.0
Trade receivables,Other Assets,2.0,22.0,2.0,3.0,3.0,6.0,6.0,3.0
Cash Equivalents,Other Assets,3241.0,2397.0,1053.0,1576.0,603.0,736.0,699.0,750.0
Loans n Advances,Other Assets,13449.0,165.0,139.0,165.0,109.0,162.0,226.0,90197.0
Other asset items,Other Assets,1787.0,17466.0,23020.0,25625.0,29312.0,61234.0,77855.0,1654.0
