,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,,60.0,60.0,60.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0
Reserves,,1230.0,1373.0,1681.0,1948.0,2332.0,2706.0,3176.0,3728.0,4063.0,4574.0,5296.0,6255.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,143.0,236.0,374.0,456.0,394.0,574.0,681.0
Other Liabilities,,463.0,587.0,570.0,538.0,742.0,1260.0,1666.0,1511.0,1934.0,2173.0,3063.0,3906.0
Total Liabilities,,1754.0,2021.0,2311.0,2545.0,3133.0,4169.0,5138.0,5674.0,6514.0,7202.0,8994.0,10902.0
Fixed Assets,,514.0,533.0,479.0,541.0,574.0,2038.0,2478.0,2391.0,2588.0,2454.0,3760.0,5130.0
CWIP,,35.0,116.0,323.0,256.0,224.0,86.0,10.0,12.0,6.0,55.0,131.0,50.0
Investments,,186.0,41.0,21.0,21.0,13.0,3.0,0.0,123.0,0.0,251.0,0.0,145.0
Other Assets,,1019.0,1330.0,1488.0,1726.0,2322.0,2042.0,2649.0,3147.0,3920.0,4442.0,5104.0,5577.0
Total Assets,,1754.0,2021.0,2311.0,2545.0,3133.0,4169.0,5138.0,5674.0,6514.0,7202.0,8994.0,10902.0
Land,Fixed Assets,46.0,46.0,0.0,0.0,0.0,0.0,0.0,52.0,55.0,55.0,55.0,55.0
Building,Fixed Assets,230.0,236.0,239.0,286.0,318.0,415.0,455.0,923.0,995.0,1083.0,1270.0,1496.0
Plant Machinery,Fixed Assets,157.0,176.0,189.0,213.0,242.0,322.0,346.0,376.0,459.0,464.0,486.0,538.0
Equipments,Fixed Assets,79.0,83.0,87.0,124.0,129.0,192.0,211.0,216.0,224.0,231.0,231.0,280.0
Computers,Fixed Assets,38.0,45.0,54.0,59.0,68.0,79.0,0.0,0.0,87.0,78.0,99.0,100.0
Furniture n fittings,Fixed Assets,58.0,60.0,62.0,74.0,79.0,122.0,125.0,115.0,119.0,121.0,114.0,136.0
Vehicles,Fixed Assets,3.0,3.0,2.0,2.0,2.0,2.0,2.0,14.0,17.0,17.0,16.0,14.0
Intangible Assets,Fixed Assets,163.0,172.0,176.0,166.0,181.0,1192.0,1304.0,1225.0,1437.0,1445.0,2391.0,3580.0
Other fixed assets,Fixed Assets,-0.0,12.0,14.0,14.0,-0.0,260.0,798.0,397.0,379.0,381.0,674.0,719.0
Gross Block,Fixed Assets,773.0,832.0,823.0,939.0,1019.0,2585.0,3240.0,3317.0,3772.0,3876.0,5335.0,6917.0
Accumulated Depreciation,Fixed Assets,259.0,300.0,345.0,397.0,445.0,547.0,763.0,926.0,1184.0,1423.0,1576.0,1787.0
Long term Borrowings,Borrowings,,,,,,143.0,146.0,0.0,0.0,0.0,0.0,0.0
Short term Borrowings,Borrowings,,,,,,0.0,44.0,0.0,83.0,0.0,0.0,0.0
Lease Liabilities,Borrowings,,,,,,0.0,0.0,374.0,374.0,394.0,574.0,681.0
Other Borrowings,Borrowings,0.0,0.0,0.0,0.0,0.0,-0.0,46.0,0.0,0.0,0.0,0.0,0.0
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0
Trade Payables,Other Liabilities,68.0,98.0,196.0,220.0,330.0,384.0,422.0,459.0,536.0,660.0,914.0,1007.0
Advance from Customers,Other Liabilities,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other liability items,Other Liabilities,395.0,489.0,374.0,318.0,393.0,876.0,1245.0,1052.0,1399.0,1514.0,2152.0,2902.0
Trade receivables,Other Assets,366.0,441.0,438.0,536.0,803.0,980.0,814.0,1367.0,1882.0,1846.0,1976.0,2056.0
Cash Equivalents,Other Assets,286.0,386.0,426.0,530.0,820.0,247.0,1026.0,1201.0,1303.0,1784.0,1987.0,1982.0
Loans n Advances,Other Assets,-0.0,-1.0,43.0,57.0,59.0,87.0,102.0,108.0,110.0,138.0,171.0,238.0
Other asset items,Other Assets,367.0,504.0,581.0,604.0,640.0,728.0,707.0,471.0,625.0,675.0,970.0,1300.0
