,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,,247.0,247.0,247.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0
Reserves,,250.0,328.0,734.0,526.0,671.0,872.0,920.0,1151.0,1391.0,1627.0,1784.0,1406.0
Borrowings,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,77.0,82.0,63.0
Other Liabilities,,995.0,1086.0,907.0,957.0,941.0,862.0,979.0,1052.0,1133.0,1221.0,1275.0,1432.0
Total Liabilities,,1492.0,1662.0,1888.0,1977.0,2107.0,2229.0,2394.0,2704.0,3069.0,3420.0,3635.0,3395.0
Fixed Assets,,172.0,149.0,147.0,139.0,186.0,200.0,209.0,201.0,261.0,259.0,319.0,334.0
CWIP,,16.0,36.0,37.0,57.0,35.0,27.0,44.0,50.0,61.0,108.0,60.0,72.0
Investments,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,488.0,488.0,443.0
Other Assets,,1304.0,1476.0,1704.0,1781.0,1886.0,2002.0,2141.0,2453.0,2422.0,2565.0,2769.0,2546.0
Total Assets,,1492.0,1662.0,1888.0,1977.0,2107.0,2229.0,2394.0,2704.0,3069.0,3420.0,3635.0,3395.0
Land,Fixed Assets,5.0,5.0,4.0,4.0,4.0,4.0,24.0,23.0,21.0,21.0,39.0,38.0
Building,Fixed Assets,89.0,92.0,40.0,42.0,50.0,58.0,85.0,77.0,110.0,126.0,146.0,142.0
Plant Machinery,Fixed Assets,181.0,158.0,84.0,92.0,118.0,127.0,143.0,147.0,165.0,167.0,205.0,224.0
Equipments,Fixed Assets,13.0,29.0,16.0,19.0,24.0,28.0,30.0,33.0,34.0,35.0,42.0,47.0
Computers,Fixed Assets,0.0,13.0,5.0,6.0,7.0,10.0,9.0,9.0,8.0,17.0,11.0,15.0
Furniture n fittings,Fixed Assets,71.0,75.0,35.0,49.0,93.0,128.0,117.0,124.0,140.0,141.0,139.0,133.0
Vehicles,Fixed Assets,1.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,9.0,18.0,18.0,13.0
Other fixed assets,Fixed Assets,17.0,18.0,8.0,8.0,10.0,11.0,12.0,17.0,17.0,17.0,18.0,16.0
Gross Block,Fixed Assets,376.0,392.0,193.0,221.0,307.0,367.0,426.0,432.0,503.0,541.0,617.0,628.0
Accumulated Depreciation,Fixed Assets,204.0,243.0,46.0,82.0,121.0,168.0,217.0,231.0,243.0,282.0,298.0,294.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,77.0,82.0,63.0
Trade Payables,Other Liabilities,538.0,541.0,497.0,607.0,584.0,472.0,546.0,621.0,679.0,706.0,704.0,786.0
Advance from Customers,Other Liabilities,4.0,3.0,4.0,5.0,5.0,9.0,7.0,8.0,5.0,7.0,12.0,10.0
Other liability items,Other Liabilities,453.0,541.0,406.0,345.0,352.0,381.0,427.0,423.0,449.0,508.0,559.0,635.0
Inventories,Other Assets,365.0,305.0,344.0,320.0,457.0,305.0,367.0,492.0,534.0,533.0,524.0,546.0
Trade receivables,Other Assets,272.0,236.0,255.0,285.0,392.0,482.0,180.0,312.0,350.0,423.0,438.0,473.0
Cash Equivalents,Other Assets,431.0,696.0,822.0,784.0,744.0,946.0,1274.0,1300.0,1218.0,1200.0,1399.0,1141.0
Loans n Advances,Other Assets,1.0,2.0,20.0,34.0,20.0,13.0,12.0,20.0,19.0,12.0,26.0,14.0
Other asset items,Other Assets,235.0,237.0,263.0,358.0,273.0,256.0,308.0,329.0,301.0,398.0,382.0,372.0
