,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,200.0,200.0,400.0,400.0,401.0,401.0,402.0,402.0,403.0
Reserves,,1520.0,1768.0,1776.0,2421.0,2897.0,3217.0,3856.0,4324.0,4436.0
Borrowings,,787.0,813.0,773.0,893.0,1022.0,815.0,555.0,578.0,458.0
Other Liabilities,,681.0,922.0,1214.0,1169.0,1245.0,1398.0,1339.0,1491.0,1757.0
Total Liabilities,,3189.0,3704.0,4163.0,4883.0,5564.0,5831.0,6152.0,6796.0,7055.0
Fixed Assets,,1030.0,1377.0,2020.0,2201.0,2393.0,2667.0,2850.0,2802.0,3005.0
CWIP,,155.0,274.0,234.0,237.0,346.0,177.0,838.0,1266.0,1040.0
Investments,,158.0,716.0,776.0,702.0,1034.0,918.0,548.0,647.0,741.0
Other Assets,,1846.0,1337.0,1133.0,1743.0,1790.0,2069.0,1916.0,2081.0,2268.0
Total Assets,,3189.0,3704.0,4163.0,4883.0,5564.0,5831.0,6152.0,6796.0,7055.0
Land,Fixed Assets,59.7,70.3,76.8,76.8,107.0,107.0,150.4,181.9,
Building,Fixed Assets,306.4,348.5,641.5,735.8,861.6,902.9,1120.6,1160.6,
Plant Machinery,Fixed Assets,1222.7,1617.5,2132.1,2454.1,2763.1,3286.5,3463.9,3668.0,
Equipments,Fixed Assets,10.0,12.1,16.1,18.1,19.2,19.3,18.6,19.0,
Furniture n fittings,Fixed Assets,29.5,38.9,50.1,60.6,72.4,95.1,100.8,105.9,
Vehicles,Fixed Assets,3.3,3.0,6.9,9.4,9.4,9.2,12.8,9.4,
Intangible Assets,Fixed Assets,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,43.9
Other fixed assets,Fixed Assets,17.1,68.7,81.7,93.2,98.8,126.9,144.5,150.2,
Gross Block,Fixed Assets,1660.7,2171.0,3017.2,3460.0,3943.5,4546.9,5023.6,5307.0,
Accumulated Depreciation,Fixed Assets,630.3,794.2,997.5,1259.0,1550.7,1880.0,2173.6,2505.3,
Long term Borrowings,Borrowings,586.0,362.0,0.0,512.0,532.0,489.0,100.0,0.0,0.0
Short term Borrowings,Borrowings,78.0,191.0,309.0,260.0,258.0,86.0,42.0,120.0,9.0
Lease Liabilities,Borrowings,0.0,0.0,87.0,121.0,232.0,240.0,414.0,458.0,449.0
Other Borrowings,Borrowings,124.0,261.0,377.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,204.0,224.0,222.0,242.0,233.0,258.0,256.0,352.0,348.0
Advance from Customers,Other Liabilities,234.0,268.0,310.0,381.0,435.0,531.0,503.0,605.0,
Other liability items,Other Liabilities,244.0,431.0,683.0,546.0,576.0,608.0,580.0,534.0,1410.0
Inventories,Other Assets,86.0,43.0,25.0,60.0,179.0,333.0,238.0,156.0,141.0
Trade receivables,Other Assets,267.0,339.0,398.0,476.0,508.0,529.0,442.0,527.0,509.0
Cash Equivalents,Other Assets,967.0,437.0,282.0,643.0,518.0,532.0,564.0,787.0,833.0
Loans n Advances,Other Assets,20.0,21.0,21.0,24.0,28.0,31.0,16.0,26.0,342.0
Other asset items,Other Assets,506.0,497.0,407.0,541.0,557.0,644.0,656.0,586.0,443.0
