,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,160.0,160.0,160.0,160.0
Reserves,,2318.0,3070.0,3503.0,4149.0
Borrowings,,84.0,60.0,90.0,81.0
Other Liabilities,,2526.0,2801.0,3046.0,3190.0
Total Liabilities,,5089.0,6091.0,6799.0,7580.0
Fixed Assets,,351.0,343.0,813.0,839.0
CWIP,,34.0,443.0,27.0,42.0
Investments,,0.0,0.0,0.0,0.0
Other Assets,,4704.0,5306.0,5959.0,6699.0
Total Assets,,5089.0,6091.0,6799.0,7580.0
Land,Fixed Assets,80.3,80.3,446.77,
Building,Fixed Assets,195.88,216.21,281.02,
Plant Machinery,Fixed Assets,109.61,126.08,132.99,
Equipments,Fixed Assets,15.6,15.92,16.9,
Computers,Fixed Assets,109.5,112.79,104.26,
Furniture n fittings,Fixed Assets,17.49,17.78,26.1,
Vehicles,Fixed Assets,119.26,124.04,178.65,
Intangible Assets,Fixed Assets,0.71,2.0,2.0,3.67
Other fixed assets,Fixed Assets,39.19,39.9,39.51,
Gross Block,Fixed Assets,687.54,735.02,1228.2,
Accumulated Depreciation,Fixed Assets,336.61,392.25,414.79,
Lease Liabilities,Borrowings,84.0,60.0,90.0,81.0
Trade Payables,Other Liabilities,852.0,998.0,1034.0,767.0
Other liability items,Other Liabilities,1674.0,1803.0,2012.0,2424.0
Inventories,Other Assets,10.0,11.0,11.0,14.0
Trade receivables,Other Assets,1143.0,1374.0,1734.0,1882.0
Cash Equivalents,Other Assets,1931.0,2278.0,2162.0,2868.0
Loans n Advances,Other Assets,150.0,181.0,86.0,0.0
Other asset items,Other Assets,1471.0,1461.0,1965.0,1936.0
