,parent_line_item,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,20.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0
Reserves,,2035.0,3445.0,4682.0,6115.0,7395.0,9323.0,14291.0,16259.0
Borrowings,,0.0,131.0,241.0,873.0,170.0,207.0,8511.0,6312.0
Other Liabilities,,968.0,1449.0,1397.0,2080.0,2080.0,2313.0,4808.0,5468.0
Total Liabilities,,3022.0,5065.0,6360.0,9108.0,9686.0,11883.0,27652.0,28080.0
Fixed Assets,,316.0,1600.0,1664.0,3588.0,4251.0,4545.0,19005.0,19093.0
CWIP,,47.0,317.0,372.0,701.0,550.0,282.0,826.0,655.0
Investments,,959.0,829.0,1512.0,1109.0,1346.0,2568.0,2042.0,1985.0
Other Assets,,1700.0,2319.0,2811.0,3709.0,3538.0,4488.0,5780.0,6346.0
Total Assets,,3022.0,5065.0,6360.0,9108.0,9686.0,11883.0,27652.0,28080.0
Land,Fixed Assets,90.0,291.0,291.0,308.0,463.0,465.0,525.0,
Building,Fixed Assets,96.0,565.0,589.0,601.0,1069.0,1279.0,1086.0,
Plant Machinery,Fixed Assets,124.0,869.0,979.0,1136.0,1349.0,1696.0,1987.0,
Equipments,Fixed Assets,0.0,20.0,34.0,63.0,95.0,110.0,113.0,
Computers,Fixed Assets,0.0,25.0,27.0,32.0,57.0,72.0,89.0,
Furniture n fittings,Fixed Assets,18.0,101.0,111.0,119.0,163.0,191.0,181.0,
Vehicles,Fixed Assets,16.0,32.0,34.0,42.0,71.0,82.0,91.0,
Intangible Assets,Fixed Assets,48.0,68.0,68.0,1861.0,1871.0,1871.0,15987.0,16134.0
Other fixed assets,Fixed Assets,49.0,23.0,33.0,89.0,100.0,150.0,857.0,
Gross Block,Fixed Assets,442.0,1993.0,2166.0,4252.0,5239.0,5915.0,20917.0,
Accumulated Depreciation,Fixed Assets,126.0,394.0,501.0,664.0,988.0,1370.0,1912.0,
Long term Borrowings,Borrowings,0.0,50.0,58.0,49.0,23.0,25.0,5526.0,2821.0
Short term Borrowings,Borrowings,0.0,77.0,177.0,819.0,139.0,171.0,2957.0,3383.0
Lease Liabilities,Borrowings,0.0,4.0,6.0,5.0,8.0,11.0,28.0,107.0
Other Borrowings,Borrowings,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,
Non controlling int,Other Liabilities,16.0,186.0,141.0,161.0,188.0,213.0,236.0,261.0
Trade Payables,Other Liabilities,274.0,745.0,667.0,1076.0,1008.0,777.0,1133.0,1341.0
Advance from Customers,Other Liabilities,2.0,1.0,1.0,1.0,1.0,1.0,1.0,
Other liability items,Other Liabilities,676.0,517.0,588.0,842.0,882.0,1322.0,3438.0,3866.0
Inventories,Other Assets,644.0,899.0,1184.0,1760.0,1498.0,1553.0,2094.0,2144.0
Trade receivables,Other Assets,197.0,531.0,331.0,388.0,576.0,848.0,1538.0,1730.0
Cash Equivalents,Other Assets,39.0,420.0,701.0,406.0,453.0,708.0,554.0,483.0
Loans n Advances,Other Assets,11.0,85.0,87.0,208.0,67.0,91.0,115.0,69.0
Other asset items,Other Assets,808.0,384.0,510.0,947.0,943.0,1287.0,1478.0,1921.0
