,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,575.0,575.0,575.0,575.0,814.0,815.0,815.0,1038.0
Reserves,,907.0,1028.0,1252.0,1650.0,2690.0,2750.0,3262.0,5745.0
Borrowings,,3123.0,2298.0,1251.0,2954.0,4648.0,4014.0,4358.0,6906.0
Other Liabilities,,1022.0,1109.0,1344.0,2749.0,2504.0,2083.0,2711.0,4247.0
Total Liabilities,,5628.0,5010.0,4423.0,7928.0,10657.0,9661.0,11146.0,17936.0
Fixed Assets,,1024.0,1214.0,1226.0,1261.0,2872.0,3431.0,3349.0,6026.0
CWIP,,255.0,149.0,220.0,336.0,697.0,372.0,553.0,424.0
Investments,,0.0,3.0,125.0,553.0,3.0,3.0,272.0,25.0
Other Assets,,4349.0,3644.0,2852.0,5778.0,7085.0,5855.0,6972.0,11461.0
Total Assets,,5628.0,5010.0,4423.0,7928.0,10657.0,9661.0,11146.0,17936.0
Land,Fixed Assets,6.0,6.0,6.0,6.0,454.0,456.0,470.0,
Building,Fixed Assets,152.0,396.0,403.0,409.0,463.0,573.0,581.0,
Plant Machinery,Fixed Assets,1053.0,1066.0,1151.0,1262.0,2452.0,3087.0,3214.0,
Equipments,Fixed Assets,8.0,8.0,9.0,10.0,16.0,18.0,21.0,
Furniture n fittings,Fixed Assets,3.0,3.0,4.0,4.0,5.0,5.0,7.0,
Railway sidings,Fixed Assets,7.0,7.0,7.0,8.0,27.0,27.0,27.0,
Vehicles,Fixed Assets,4.0,5.0,5.0,5.0,9.0,17.0,22.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,58.0,58.0,58.0,203.0
Other fixed assets,Fixed Assets,3.0,4.0,4.0,4.0,6.0,7.0,8.0,
Gross Block,Fixed Assets,1238.0,1496.0,1589.0,1710.0,3490.0,4249.0,4407.0,
Accumulated Depreciation,Fixed Assets,213.0,282.0,362.0,449.0,618.0,818.0,1058.0,
Long term Borrowings,Borrowings,219.0,139.0,113.0,528.0,612.0,677.0,622.0,816.0
Short term Borrowings,Borrowings,2835.0,2079.0,1138.0,2426.0,4019.0,3318.0,3719.0,6057.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,17.0,19.0,18.0,34.0
Other Borrowings,Borrowings,69.0,79.0,0.0,0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,708.0,806.0,940.0,2273.0,1912.0,1488.0,2028.0,3084.0
Advance from Customers,Other Liabilities,7.0,9.0,7.0,13.0,11.0,10.0,9.0,
Other liability items,Other Liabilities,307.0,294.0,398.0,463.0,581.0,585.0,673.0,1163.0
Inventories,Other Assets,1422.0,1079.0,899.0,2293.0,2238.0,1831.0,2287.0,4627.0
Trade receivables,Other Assets,2342.0,2149.0,1156.0,902.0,3690.0,2720.0,2535.0,4790.0
Cash Equivalents,Other Assets,20.0,6.0,93.0,598.0,110.0,118.0,904.0,392.0
Loans n Advances,Other Assets,8.0,4.0,200.0,40.0,52.0,41.0,41.0,24.0
Other asset items,Other Assets,557.0,406.0,504.0,1944.0,996.0,1145.0,1205.0,1629.0
