,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,,134.0,134.0,182.0,183.0,183.0,289.0,289.0,433.0,650.0,650.0,676.0,676.0
Reserves,,9.0,91.0,1511.0,1587.0,1816.0,3040.0,3235.0,3647.0,4453.0,6287.0,15934.0,18902.0
Borrowings,,2615.0,2527.0,2215.0,2654.0,2808.0,3417.0,3216.0,3387.0,3884.0,5431.0,2826.0,2508.0
Other Liabilities,,533.0,1680.0,915.0,852.0,1192.0,1630.0,1707.0,2113.0,2632.0,2819.0,3688.0,3454.0
Total Liabilities,,3292.0,4431.0,4824.0,5276.0,5998.0,8376.0,8447.0,9579.0,11618.0,15187.0,23124.0,25541.0
Fixed Assets,,2355.0,3496.0,3716.0,3981.0,4387.0,6479.0,6409.0,6311.0,6932.0,8409.0,13402.0,16759.0
CWIP,,25.0,38.0,96.0,145.0,352.0,64.0,67.0,497.0,607.0,1922.0,1167.0,271.0
Investments,,304.0,3.0,7.0,8.0,11.0,0.0,0.0,0.0,0.0,21.0,60.0,174.0
Other Assets,,608.0,894.0,1006.0,1141.0,1247.0,1833.0,1972.0,2772.0,4079.0,4835.0,8496.0,8337.0
Total Assets,,3292.0,4431.0,4824.0,5276.0,5998.0,8376.0,8447.0,9579.0,11618.0,15187.0,23124.0,25541.0
Land,Fixed Assets,449.0,586.0,683.0,692.0,783.0,1209.0,1250.0,1296.0,1679.0,1832.0,1902.0,1994.0
Building,Fixed Assets,383.0,478.0,545.0,636.0,818.0,1308.0,1392.0,1474.0,1587.0,1958.0,3408.0,4525.0
Plant Machinery,Fixed Assets,1212.0,1661.0,1835.0,2075.0,2248.0,3565.0,3831.0,3967.0,4401.0,5499.0,8598.0,11225.0
Equipments,Fixed Assets,10.0,832.0,916.0,936.0,1021.0,1194.0,1212.0,1242.0,1238.0,1293.0,1529.0,1899.0
Computers,Fixed Assets,11.0,15.0,18.0,20.0,17.0,23.0,25.0,28.0,33.0,41.0,65.0,82.0
Furniture n fittings,Fixed Assets,10.0,14.0,16.0,17.0,20.0,25.0,26.0,29.0,29.0,41.0,69.0,72.0
Vehicles,Fixed Assets,121.0,132.0,169.0,173.0,652.0,742.0,622.0,690.0,795.0,1086.0,1500.0,1856.0
Intangible Assets,Fixed Assets,10.0,435.0,414.0,497.0,584.0,644.0,644.0,644.0,644.0,644.0,1532.0,1711.0
Other fixed assets,Fixed Assets,3174.0,479.0,563.0,588.0,30.0,35.0,32.0,38.0,35.0,51.0,200.0,236.0
Gross Block,Fixed Assets,5380.0,4632.0,5159.0,5635.0,6172.0,8745.0,9033.0,9410.0,10441.0,12445.0,18802.0,23600.0
Accumulated Depreciation,Fixed Assets,3026.0,1137.0,1443.0,1654.0,1785.0,2265.0,2624.0,3099.0,3509.0,4036.0,5400.0,6841.0
Long term Borrowings,Borrowings,1623.0,1580.0,1218.0,1691.0,1980.0,2355.0,1980.0,1813.0,1727.0,3189.0,841.0,540.0
Short term Borrowings,Borrowings,509.0,252.0,411.0,353.0,378.0,467.0,714.0,1529.0,1968.0,2005.0,1524.0,1484.0
Lease Liabilities,Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,189.0,237.0,462.0,484.0
Preference Capital,Borrowings,200.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Borrowings,Borrowings,284.0,245.0,586.0,609.0,450.0,595.0,523.0,0.0,-0.0,-0.0,-0.0,-0.0
Non controlling int,Other Liabilities,0.0,0.0,-13.0,-1.0,8.0,31.0,65.0,117.0,113.0,148.0,130.0,162.0
Trade Payables,Other Liabilities,181.0,185.0,275.0,191.0,317.0,478.0,511.0,712.0,824.0,758.0,1560.0,1401.0
Advance from Customers,Other Liabilities,18.0,61.0,96.0,71.0,69.0,113.0,173.0,79.0,203.0,180.0,219.0,159.0
Other liability items,Other Liabilities,335.0,1435.0,558.0,592.0,799.0,1009.0,958.0,1205.0,1491.0,1732.0,1778.0,1731.0
Inventories,Other Assets,289.0,425.0,490.0,439.0,578.0,882.0,929.0,1448.0,1994.0,2151.0,2791.0,2952.0
Trade receivables,Other Assets,97.0,98.0,131.0,150.0,128.0,173.0,242.0,221.0,299.0,359.0,846.0,1249.0
Cash Equivalents,Other Assets,34.0,58.0,66.0,94.0,93.0,171.0,190.0,337.0,285.0,460.0,2450.0,1998.0
Loans n Advances,Other Assets,63.0,57.0,93.0,89.0,103.0,128.0,192.0,187.0,288.0,253.0,664.0,300.0
Other asset items,Other Assets,125.0,257.0,227.0,369.0,345.0,480.0,420.0,579.0,1213.0,1612.0,1745.0,1837.0
