,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.01,1955.0,1955.0,1955.0,4411.0,4411.0
Reserves,,1971.0,-98.0,-1409.0,-2909.0,732.0,-1060.0
Borrowings,,42.0,2608.0,3505.0,5684.0,3556.0,2763.0
Other Liabilities,,100.0,931.0,1521.0,3006.0,2376.0,1674.0
Total Liabilities,,2113.0,5396.0,5573.0,7735.0,11075.0,7788.0
Fixed Assets,,104.0,1025.0,1219.0,2491.0,3154.0,3352.0
CWIP,,43.0,83.0,507.0,713.0,702.0,496.0
Investments,,455.0,1102.0,276.0,64.0,40.0,0.0
Other Assets,,1510.0,3186.0,3571.0,4468.0,7179.0,3940.0
Total Assets,,2113.0,5396.0,5573.0,7735.0,11075.0,7788.0
Land,Fixed Assets,34.0,89.0,90.0,90.0,90.0,
Building,Fixed Assets,9.0,357.0,419.0,1133.0,1671.0,
Plant Machinery,Fixed Assets,15.0,463.0,609.0,1034.0,1420.0,
Equipments,Fixed Assets,1.0,6.0,12.0,25.0,34.0,
Computers,Fixed Assets,3.0,13.0,37.0,45.0,50.0,
Furniture n fittings,Fixed Assets,1.0,5.0,7.0,34.0,72.0,
Vehicles,Fixed Assets,0.0,3.0,17.0,59.0,147.0,
Intangible Assets,Fixed Assets,50.0,161.0,271.0,662.0,798.0,1039.0
Other fixed assets,Fixed Assets,12.0,25.0,31.0,45.0,47.0,
Gross Block,Fixed Assets,125.0,1122.0,1492.0,3128.0,4329.0,
Accumulated Depreciation,Fixed Assets,21.0,98.0,274.0,637.0,1175.0,
Long term Borrowings,Borrowings,0.0,524.0,700.0,1319.0,1724.0,1188.0
Short term Borrowings,Borrowings,39.0,227.0,945.0,1071.0,1319.0,1288.0
Lease Liabilities,Borrowings,3.0,53.0,50.0,321.0,513.0,287.0
Preference Capital,Borrowings,0.0,1804.0,1810.0,2973.0,0.0,0.0
Other Borrowings,Borrowings,0.0,-0.0,0.0,0.0,0.0,
Trade Payables,Other Liabilities,43.0,357.0,693.0,1348.0,951.0,679.0
Advance from Customers,Other Liabilities,0.0,262.0,64.0,185.0,0.0,
Other liability items,Other Liabilities,57.0,312.0,764.0,1472.0,1425.0,995.0
Inventories,Other Assets,3.0,284.0,584.0,694.0,784.0,269.0
Trade receivables,Other Assets,0.0,15.0,84.0,158.0,9.0,31.0
Cash Equivalents,Other Assets,1366.0,2097.0,1529.0,1663.0,3516.0,1542.0
Loans n Advances,Other Assets,20.0,223.0,229.0,439.0,365.0,176.0
Other asset items,Other Assets,120.0,567.0,1145.0,1514.0,2505.0,1922.0
