,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,0.37,0.37,0.37,0.37,61.0,61.0,61.0
Reserves,,240.0,233.0,247.0,337.0,754.0,942.0,1159.0
Borrowings,,58.0,134.0,123.0,140.0,172.0,212.0,141.0
Other Liabilities,,101.0,90.0,127.0,163.0,204.0,297.0,351.0
Total Liabilities,,400.0,458.0,497.0,640.0,1190.0,1511.0,1712.0
Fixed Assets,,196.0,229.0,227.0,320.0,498.0,690.0,793.0
CWIP,,1.0,3.0,4.0,7.0,25.0,60.0,162.0
Investments,,0.0,0.0,0.0,2.0,1.0,1.0,2.0
Other Assets,,203.0,226.0,267.0,311.0,665.0,759.0,756.0
Total Assets,,400.0,458.0,497.0,640.0,1190.0,1511.0,1712.0
Land,Fixed Assets,15.0,15.0,15.0,85.0,92.0,106.0,
Building,Fixed Assets,63.0,95.0,104.0,117.0,174.0,231.0,
Plant Machinery,Fixed Assets,194.0,141.0,162.0,211.0,312.0,445.0,
Equipments,Fixed Assets,2.0,1.0,2.0,2.0,2.0,3.0,
Computers,Fixed Assets,1.0,1.0,1.0,1.0,1.0,2.0,
Furniture n fittings,Fixed Assets,16.0,6.0,11.0,12.0,20.0,24.0,
Vehicles,Fixed Assets,2.0,1.0,1.0,1.0,2.0,3.0,
Intangible Assets,Fixed Assets,7.0,4.0,4.0,4.0,64.0,119.0,112.0
Other fixed assets,Fixed Assets,3.0,0.0,0.0,0.0,0.0,1.0,
Gross Block,Fixed Assets,302.0,263.0,300.0,433.0,668.0,934.0,
Accumulated Depreciation,Fixed Assets,106.0,34.0,73.0,113.0,170.0,244.0,
Long term Borrowings,Borrowings,4.0,3.0,3.0,15.0,84.0,106.0,38.0
Short term Borrowings,Borrowings,53.0,94.0,82.0,85.0,32.0,48.0,52.0
Lease Liabilities,Borrowings,0.0,36.0,38.0,40.0,56.0,59.0,52.0
Other Borrowings,Borrowings,2.0,-0.0,0.0,-0.0,-0.0,-0.0,
Non controlling int,Other Liabilities,5.0,8.0,11.0,18.0,28.0,80.0,82.0
Trade Payables,Other Liabilities,66.0,57.0,81.0,87.0,90.0,109.0,125.0
Advance from Customers,Other Liabilities,5.0,3.0,5.0,16.0,17.0,19.0,
Other liability items,Other Liabilities,25.0,23.0,30.0,41.0,69.0,89.0,143.0
Inventories,Other Assets,128.0,121.0,159.0,185.0,225.0,294.0,377.0
Trade receivables,Other Assets,36.0,42.0,49.0,36.0,65.0,134.0,164.0
Cash Equivalents,Other Assets,4.0,29.0,16.0,42.0,306.0,225.0,62.0
Loans n Advances,Other Assets,6.0,8.0,9.0,14.0,8.0,21.0,29.0
Other asset items,Other Assets,29.0,26.0,33.0,35.0,61.0,85.0,124.0
