,parent_line_item,Mar 2025,Mar 2026
Equity Capital,,75.0,75.0
Reserves,,2823.0,2839.0
Borrowings,,18.0,15.0
Other Liabilities,,572.0,771.0
Total Liabilities,,3488.0,3700.0
Fixed Assets,,810.0,1446.0
CWIP,,592.0,101.0
Investments,,117.0,51.0
Other Assets,,1969.0,2102.0
Total Assets,,3488.0,3700.0
Intangible Assets,Fixed Assets,222.0,217.0
Long term Borrowings,Borrowings,14.48,0.0
Short term Borrowings,Borrowings,3.16,0.0
Lease Liabilities,Borrowings,0.0,14.56
Trade Payables,Other Liabilities,404.0,610.0
Other liability items,Other Liabilities,169.0,161.0
Inventories,Other Assets,653.0,788.0
Trade receivables,Other Assets,709.0,811.0
Cash Equivalents,Other Assets,439.0,275.0
Loans n Advances,Other Assets,23.0,27.0
Other asset items,Other Assets,146.0,200.0
