,parent_line_item,Dec 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,96.0,96.0,193.0,
Reserves,,3244.0,3914.0,4964.0,
Borrowings,,345.0,1167.0,444.0,
Other Liabilities,,6838.0,7016.0,7581.0,
Total Liabilities,,10523.0,12193.0,13182.0,
Fixed Assets,,3460.0,5474.0,6290.0,
CWIP,,1742.0,1173.0,507.0,
Investments,,464.0,575.0,531.0,
Other Assets,,4857.0,4972.0,5854.0,
Total Assets,,10523.0,12193.0,13182.0,
Land,Fixed Assets,,150.81,215.27,
Building,Fixed Assets,,1820.81,2332.31,
Plant Machinery,Fixed Assets,,4068.09,5931.88,
Equipments,Fixed Assets,,50.93,52.3,
Computers,Fixed Assets,,155.25,167.69,
Furniture n fittings,Fixed Assets,,67.67,71.23,
Vehicles,Fixed Assets,,20.12,25.34,
Gross Block,Fixed Assets,,6333.68,8796.02,
Accumulated Depreciation,Fixed Assets,,2873.43,3322.41,
Long term Borrowings,Borrowings,,25.0,22.0,20.0
Short term Borrowings,Borrowings,,6.0,731.0,4.0
Lease Liabilities,Borrowings,,313.0,414.0,420.0
Trade Payables,Other Liabilities,,2812.0,2624.0,3160.0
Advance from Customers,Other Liabilities,,16.0,27.0,
Other liability items,Other Liabilities,,4010.0,4365.0,4421.0
Inventories,Other Assets,,2089.0,2850.0,2569.0
Trade receivables,Other Assets,,300.0,363.0,329.0
Cash Equivalents,Other Assets,,779.0,96.0,1341.0
Loans n Advances,Other Assets,,76.0,81.0,80.0
Other asset items,Other Assets,,1613.0,1582.0,1535.0
