,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,12.0,12.0,12.0,16.0,19.0,21.0,21.0,21.0
Reserves,,364.0,691.0,794.0,1013.0,2872.0,3825.0,3978.0,3540.0
Borrowings,,0.0,71.0,62.0,65.0,1589.0,487.0,380.0,448.0
Other Liabilities,,132.0,278.0,391.0,581.0,1400.0,765.0,776.0,852.0
Total Liabilities,,508.0,1052.0,1260.0,1674.0,5881.0,5097.0,5155.0,4861.0
Fixed Assets,,60.0,228.0,243.0,282.0,3258.0,2805.0,2730.0,2128.0
CWIP,,3.0,9.0,46.0,34.0,39.0,49.0,63.0,48.0
Investments,,103.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0
Other Assets,,342.0,816.0,970.0,1358.0,2583.0,2244.0,2362.0,2454.0
Total Assets,,508.0,1052.0,1260.0,1674.0,5881.0,5097.0,5155.0,4861.0
Land,Fixed Assets,0.0,41.0,41.0,44.0,244.0,240.0,235.0,
Building,Fixed Assets,13.0,55.0,56.0,68.0,226.0,257.0,267.0,
Plant Machinery,Fixed Assets,60.0,173.0,206.0,261.0,550.0,587.0,655.0,
Equipments,Fixed Assets,2.0,4.0,5.0,7.0,12.0,21.0,29.0,
Furniture n fittings,Fixed Assets,0.0,1.0,1.0,2.0,4.0,5.0,4.0,
Vehicles,Fixed Assets,6.0,7.0,7.0,8.0,8.0,10.0,11.0,
Intangible Assets,Fixed Assets,0.0,0.0,0.0,0.0,1944.0,867.0,867.0,1256.0
Other fixed assets,Fixed Assets,1.0,5.0,10.0,7.0,1111.0,1168.0,1194.0,
Gross Block,Fixed Assets,81.0,285.0,326.0,396.0,4098.0,3154.0,3263.0,
Accumulated Depreciation,Fixed Assets,21.0,58.0,83.0,114.0,840.0,349.0,533.0,
Long term Borrowings,Borrowings,0.0,58.0,60.0,33.0,242.0,237.0,215.0,213.0
Short term Borrowings,Borrowings,0.0,8.0,0.0,26.0,1251.0,126.0,30.0,109.0
Lease Liabilities,Borrowings,0.0,1.0,2.0,6.0,97.0,124.0,134.0,127.0
Other Borrowings,Borrowings,0.0,4.0,0.0,0.0,-0.0,-0.0,0.0,
Non controlling int,Other Liabilities,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,111.0,235.0,348.0,527.0,844.0,578.0,622.0,678.0
Advance from Customers,Other Liabilities,1.0,8.0,3.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,20.0,35.0,41.0,54.0,467.0,187.0,155.0,174.0
Inventories,Other Assets,117.0,278.0,353.0,608.0,956.0,905.0,1074.0,1099.0
Trade receivables,Other Assets,157.0,332.0,328.0,489.0,756.0,817.0,733.0,703.0
Cash Equivalents,Other Assets,28.0,127.0,160.0,78.0,326.0,53.0,99.0,160.0
Loans n Advances,Other Assets,15.0,9.0,10.0,15.0,108.0,85.0,56.0,6.0
Other asset items,Other Assets,24.0,69.0,119.0,167.0,437.0,383.0,400.0,486.0
