,parent_line_item,Mar 2009,Mar 2010,Mar 2011
Equity Capital,,1897.0,1897.0,1897.0
Reserves,,-2276.0,-2594.0,-2514.0
Borrowings,,3344.0,3940.0,4653.0
Other Liabilities,,1061.0,1566.0,1811.0
Total Liabilities,,4026.0,4809.0,5847.0
Fixed Assets,,3196.0,3951.0,4803.0
CWIP,,230.0,205.0,153.0
Investments,,10.0,0.0,0.0
Other Assets,,591.0,653.0,891.0
Total Assets,,4026.0,4809.0,5847.0
Land,Fixed Assets,7.0,7.0,7.0
Building,Fixed Assets,21.0,22.0,23.0
Plant Machinery,Fixed Assets,3823.0,4987.0,5136.0
Equipments,Fixed Assets,84.0,106.0,111.0
Vehicles,Fixed Assets,2.0,2.0,1.0
Intangible Assets,Fixed Assets,63.0,1008.0,2303.0
Other fixed assets,Fixed Assets,950.0,32.0,40.0
Gross Block,Fixed Assets,4949.0,6164.0,7621.0
Accumulated Depreciation,Fixed Assets,1753.0,2212.0,2818.0
Other Borrowings,Borrowings,3344.0,3940.0,4653.0
Trade Payables,Other Liabilities,872.0,1416.0,1450.0
Other liability items,Other Liabilities,189.0,149.0,361.0
Inventories,Other Assets,2.0,6.0,4.0
Trade receivables,Other Assets,253.0,292.0,295.0
Cash Equivalents,Other Assets,27.0,23.0,75.0
Loans n Advances,Other Assets,3.0,8.0,14.0
Other asset items,Other Assets,306.0,323.0,504.0
