,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,375.0,420.0,427.0,509.0,598.0,600.0,600.0,605.0,608.0,618.0
Reserves,,3961.0,6261.0,7108.0,10056.0,12068.0,11931.0,12926.0,14232.0,15062.0,15931.0
Deposits,,34588.0,43883.0,58358.0,57812.0,73055.0,79006.0,84875.0,103470.0,110933.0,138959.0
Borrowing,,7980.0,9261.0,11832.0,17007.0,11226.0,11098.0,13332.0,14185.0,13735.0,16796.0
Other Liabilities,,1771.0,2052.0,2673.0,3600.0,3672.0,3528.0,4074.0,5961.0,6435.0,8442.0
Total Liabilities,,48676.0,61877.0,80398.0,88983.0,100619.0,106163.0,115806.0,138454.0,146772.0,180747.0
Fixed Assets,,224.0,327.0,416.0,471.0,511.0,538.0,594.0,591.0,638.0,582.0
CWIP,,35.0,31.0,40.0,62.0,24.0,82.0,45.0,7.0,7.0,0.0
Investments,,13482.0,15397.0,16745.0,18055.0,23085.0,22129.0,28730.0,29478.0,32103.0,32059.0
Other Assets,,34934.0,46122.0,63196.0,70396.0,76998.0,83414.0,86436.0,108378.0,114025.0,148107.0
Total Assets,,48676.0,61877.0,80398.0,88983.0,100619.0,106163.0,115806.0,138454.0,146772.0,180747.0
Building,Fixed Assets,7.52,7.52,50.58,51.93,51.93,51.93,51.93,51.94,51.97,
Other fixed assets,Fixed Assets,418.23,611.63,761.76,952.1,1138.26,1317.06,1521.66,1669.82,1918.42,
Gross Block,Fixed Assets,425.75,619.15,812.34,1004.03,1190.19,1368.99,1573.59,1721.76,1970.39,
Accumulated Depreciation,Fixed Assets,201.58,292.51,396.1,533.35,678.76,831.44,979.71,1130.52,1332.86,
Non controlling int,Other Liabilities,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trade Payables,Other Liabilities,253.0,238.0,199.0,157.0,272.0,263.0,655.0,722.0,780.0,0.0
Other liability items,Other Liabilities,1518.0,1795.0,2474.0,3443.0,3400.0,3265.0,3419.0,5239.0,5654.0,8442.0
Cash Equivalents,Other Assets,2783.0,2374.0,4687.0,6175.0,6437.0,12818.0,5921.0,11793.0,10752.0,14012.0
Loans n Advances,Other Assets,0.0,13.0,45.0,47.0,37.0,50.0,11.0,103.0,187.0,114232.0
Other asset items,Other Assets,32151.0,43735.0,58465.0,64174.0,70524.0,70547.0,80504.0,96482.0,103085.0,19863.0
