,parent_line_item,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Equity Capital,,136.0,136.0,14.0,14.0,14.0
Reserves,,145.0,142.0,154.0,202.0,317.0
Borrowings,,4.0,4.0,5.0,5.0,5.0
Other Liabilities,,353.0,423.0,557.0,579.0,550.0
Total Liabilities,,638.0,706.0,729.0,799.0,885.0
Fixed Assets,,164.0,168.0,210.0,249.0,254.0
CWIP,,9.0,24.0,31.0,8.0,6.0
Investments,,145.0,130.0,65.0,35.0,20.0
Other Assets,,319.0,383.0,424.0,507.0,604.0
Total Assets,,638.0,706.0,729.0,799.0,885.0
Land,Fixed Assets,5.0,5.0,5.0,5.0,4.0
Building,Fixed Assets,113.0,107.0,117.0,142.0,142.0
Plant Machinery,Fixed Assets,187.0,198.0,259.0,273.0,288.0
Furniture n fittings,Fixed Assets,37.0,40.0,44.0,36.0,36.0
Vehicles,Fixed Assets,0.0,0.0,0.0,0.0,0.0
Intangible Assets,Fixed Assets,91.0,91.0,91.0,91.0,91.0
Gross Block,Fixed Assets,433.0,441.0,518.0,546.0,561.0
Accumulated Depreciation,Fixed Assets,269.0,273.0,308.0,297.0,307.0
Other Borrowings,Borrowings,4.36,4.28,4.69,4.69,4.59
Non controlling int,Other Liabilities,0.0,0.0,4.0,4.0,0.0
Trade Payables,Other Liabilities,240.0,273.0,306.0,362.0,369.0
Other liability items,Other Liabilities,113.0,150.0,247.0,213.0,181.0
Inventories,Other Assets,76.0,80.0,86.0,90.0,111.0
Trade receivables,Other Assets,7.0,9.0,9.0,11.0,10.0
Cash Equivalents,Other Assets,89.0,115.0,148.0,253.0,348.0
Loans n Advances,Other Assets,11.0,16.0,4.0,4.0,5.0
Other asset items,Other Assets,137.0,163.0,176.0,148.0,131.0
