,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,,70.0,72.0,50.0,74.0,74.0,78.0,80.0,80.0,80.0,80.0,80.0
Reserves,,193.0,255.0,-209.0,466.0,524.0,786.0,1307.0,1590.0,1748.0,2058.0,2167.0
Borrowings,,256.0,280.0,753.0,336.0,369.0,316.0,257.0,678.0,1355.0,2557.0,4253.0
Other Liabilities,,146.0,167.0,359.0,237.0,228.0,253.0,260.0,553.0,636.0,995.0,1258.0
Total Liabilities,,665.0,774.0,954.0,1114.0,1194.0,1433.0,1904.0,2901.0,3820.0,5689.0,7759.0
Fixed Assets,,515.0,518.0,755.0,863.0,916.0,931.0,1005.0,1766.0,2434.0,3348.0,5710.0
CWIP,,2.0,64.0,0.0,0.0,2.0,9.0,21.0,477.0,600.0,1214.0,606.0
Investments,,11.0,14.0,0.0,0.0,0.0,0.0,332.0,68.0,157.0,99.0,103.0
Other Assets,,137.0,177.0,199.0,250.0,276.0,493.0,546.0,590.0,629.0,1028.0,1339.0
Total Assets,,665.0,774.0,954.0,1114.0,1194.0,1433.0,1904.0,2901.0,3820.0,5689.0,7759.0
Land,Fixed Assets,17.0,18.0,37.0,39.0,49.0,83.0,167.0,250.0,353.0,405.0,
Building,Fixed Assets,303.0,317.0,407.0,437.0,470.0,472.0,474.0,722.0,1236.0,1793.0,
Plant Machinery,Fixed Assets,15.0,16.0,23.0,26.0,29.0,31.0,34.0,51.0,59.0,124.0,
Equipments,Fixed Assets,260.0,276.0,243.0,299.0,340.0,373.0,400.0,609.0,720.0,992.0,
Computers,Fixed Assets,9.0,10.0,6.0,9.0,14.0,19.0,26.0,34.0,44.0,57.0,
Furniture n fittings,Fixed Assets,69.0,74.0,61.0,67.0,79.0,87.0,91.0,130.0,173.0,228.0,
Vehicles,Fixed Assets,3.0,4.0,4.0,5.0,6.0,7.0,8.0,12.0,14.0,19.0,
Intangible Assets,Fixed Assets,0.0,0.0,44.0,78.0,87.0,87.0,87.0,359.0,359.0,402.0,396.0
Other fixed assets,Fixed Assets,2.0,2.0,2.0,27.0,29.0,31.0,42.0,56.0,61.0,71.0,
Gross Block,Fixed Assets,679.0,717.0,827.0,987.0,1103.0,1190.0,1329.0,2223.0,3019.0,4089.0,
Accumulated Depreciation,Fixed Assets,165.0,199.0,73.0,124.0,187.0,259.0,324.0,457.0,585.0,741.0,
Long term Borrowings,Borrowings,,,246.0,243.0,269.0,185.0,138.0,497.0,928.0,1654.0,2673.0
Short term Borrowings,Borrowings,,,31.0,18.0,10.0,86.0,23.0,36.0,119.0,252.0,571.0
Lease Liabilities,Borrowings,,,50.0,48.0,48.0,46.0,96.0,145.0,309.0,651.0,1009.0
Other Borrowings,Borrowings,256.0,280.0,427.0,28.0,42.0,0.0,0.0,0.0,0.0,0.0,
Non controlling int,Other Liabilities,7.0,7.0,20.0,25.0,13.0,12.0,23.0,268.0,265.0,281.0,311.0
Trade Payables,Other Liabilities,67.0,78.0,95.0,104.0,123.0,132.0,130.0,174.0,197.0,269.0,323.0
Advance from Customers,Other Liabilities,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Other liability items,Other Liabilities,68.0,77.0,244.0,107.0,91.0,109.0,107.0,111.0,174.0,445.0,624.0
Inventories,Other Assets,12.0,16.0,20.0,27.0,30.0,24.0,36.0,43.0,49.0,64.0,97.0
Trade receivables,Other Assets,66.0,92.0,108.0,123.0,132.0,110.0,129.0,253.0,294.0,395.0,554.0
Cash Equivalents,Other Assets,7.0,8.0,11.0,10.0,46.0,284.0,190.0,66.0,49.0,80.0,75.0
Loans n Advances,Other Assets,20.0,20.0,3.0,4.0,4.0,7.0,10.0,11.0,36.0,85.0,163.0
Other asset items,Other Assets,31.0,41.0,57.0,86.0,64.0,67.0,180.0,217.0,200.0,404.0,450.0
