metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,,422.75,321.1,507.75,367.55,251.15,310.0
EPS in Rs,9.72,21.48,,,,,73.85,89.79,112.43,6.46,7.59,7.7,8.44,9.57,
Equity Capital (Rs Cr),0.8,0.8,,,,,0.81,0.81,0.81,20.0,20.0,21.0,21.0,21.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,8000000.0,8000000.0,,,,,8100000.0,8100000.0,8100000.0,200000000.0,200000000.0,210000000.0,210000000.0,210000000.0,
Market Cap (Rs Cr),,,,,,,,,,8455.0,6422.0,10662.75,7718.55,5274.15,6416.0
P/E ratio,,,,,,,,,,65.44,42.31,65.94,43.55,26.24,32.4
