metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),168.25,174.9,208.7,277.05,217.45,79.4,223.7,191.0,319.9,466.45,426.05,412.3
EPS in Rs,19.21,22.06,21.59,12.65,11.88,8.33,5.51,10.06,16.47,27.11,17.66,21.61
Equity Capital (Rs Cr),51.0,51.0,51.0,57.0,57.0,57.0,64.0,64.0,64.0,64.0,64.0,64.0
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Shares Outstanding,510000000.0,510000000.0,510000000.0,570000000.0,570000000.0,570000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0,640000000.0
Market Cap (Rs Cr),8580.75,8919.9,10643.7,15791.85,12394.65,4525.8,14316.8,12224.0,20473.6,29852.8,27267.2,26387.2
P/E ratio,8.76,7.93,9.67,21.9,18.3,9.53,40.6,18.99,19.42,17.21,24.13,19.08
