metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),431.25,344.05,576.95,453.45,438.15,384.6,859.45,753.9,635.0,1002.2,1147.7,1490.7,1499.0
EPS in Rs,10.49,9.47,14.79,10.67,9.75,5.38,12.33,7.34,10.97,9.85,9.48,2.43,
Equity Capital (Rs Cr),53.0,53.0,53.0,54.0,54.0,54.0,69.0,69.0,69.0,69.0,69.0,69.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,265000000.0,265000000.0,265000000.0,270000000.0,270000000.0,270000000.0,345000000.0,345000000.0,345000000.0,345000000.0,345000000.0,345000000.0,
Market Cap (Rs Cr),11428.12,9117.33,15289.17,12243.15,11830.05,10384.2,29651.03,26009.55,21907.5,34575.9,39595.65,51429.15,51733.0
P/E ratio,41.11,36.33,39.01,42.5,44.94,71.49,69.7,102.71,57.89,101.75,121.07,613.46,646.0
