metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,1007.15,830.85,995.5,1056.9,1251.9,1252.7,1559.35,1542.25,1507.35,2710.35,2389.8,1788.7,2076.0
EPS in Rs,5.15,5.46,8.67,10.51,15.96,,,,,,,,,,,,,
Equity Capital (Rs Cr),136.0,136.0,14.0,14.0,14.0,,,,,,,,,,,,,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,1360000000.0,1360000000.0,140000000.0,140000000.0,140000000.0,,,,,,,,,,,,,
Market Cap (Rs Cr),,,,,,,,,,,,,,,,,,56467.0
P/E ratio,,,,,,,,,,,,,,,,,,131.0
