metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),804.45,1086.65,1324.85,1506.3,1090.3,792.95,1556.55,932.15,1450.55,2682.4,2879.5,3242.5,3430.0
EPS in Rs,78.41,108.17,89.28,58.83,62.35,57.17,106.81,17.6,46.02,158.87,116.85,172.56,
Equity Capital (Rs Cr),40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,
Market Cap (Rs Cr),3217.8,4346.6,5299.4,6025.2,4361.2,3171.8,6226.2,3728.6,5802.2,10729.6,11518.0,12970.0,13874.0
P/E ratio,10.26,10.05,14.84,25.6,17.49,13.87,14.57,52.96,31.52,16.88,24.64,18.79,21.8
