metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,116.9,86.35,961.25,2149.8,867.75,926.55,602.6,509.95,651.0
EPS in Rs,,,,6.31,2.08,3.97,4.21,4.63,4.97,6.07,5.95,5.96,
Equity Capital (Rs Cr),,,,257.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,,,,2570000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,1100000000.0,
Market Cap (Rs Cr),,,,,12859.0,9498.5,105737.5,236478.0,95452.5,101920.5,66286.0,56094.5,71647.0
P/E ratio,,,,,56.2,21.75,228.33,464.32,174.6,152.64,101.28,85.56,113.0
