metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),1712.82,1907.38,1372.28,1043.88,1296.55,1257.4,1440.75,1666.9,1324.75,1946.6,2880.35,2283.0,2655.0
EPS in Rs,,28.12,22.2,19.88,20.7,26.29,5.5,21.14,100.04,36.05,34.83,54.75,
Equity Capital (Rs Cr),85.0,85.0,85.0,85.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,169.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,85000000.0,85000000.0,85000000.0,85000000.0,169000000.0,169000000.0,169000000.0,169000000.0,169000000.0,169000000.0,169000000.0,169000000.0,
Market Cap (Rs Cr),14558.97,16212.73,11664.38,8872.98,21911.69,21250.06,24348.67,28170.61,22388.28,32897.54,48677.92,38582.7,44984.0
P/E ratio,,67.83,61.81,52.51,62.64,47.83,261.95,78.85,13.24,54.0,82.7,41.7,46.8
