metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,,,,,,50.4,66.4,103.42,107.24,128.0
EPS in Rs,,,,,276.24,335.77,387.99,6.92,3.73,1.23,6.77,9.6,
Equity Capital (Rs Cr),,,,,575.0,575.0,575.0,575.0,814.0,815.0,815.0,1038.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,,,,,575000000.0,575000000.0,575000000.0,575000000.0,814000000.0,815000000.0,815000000.0,1038000000.0,
Market Cap (Rs Cr),,,,,,,,,4102.56,5411.6,8428.73,11131.51,13330.0
P/E ratio,,,,,,,,,13.51,53.98,15.28,11.17,13.0
