metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),128.62,186.67,185.01,180.25,233.4,88.0,273.95,366.95,274.35,606.75,700.85,514.55,489.0
EPS in Rs,11.94,12.97,10.47,10.74,13.93,11.69,13.3,18.4,14.47,29.34,28.61,34.05,
Equity Capital (Rs Cr),44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,220000000.0,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,225000000.0,
Market Cap (Rs Cr),2829.64,4200.07,4162.73,4055.62,5251.5,1980.0,6163.88,8256.38,6172.88,13651.88,15769.12,11577.37,11125.0
P/E ratio,10.77,14.39,17.67,16.78,16.76,7.53,20.6,19.94,18.96,20.68,24.5,15.11,14.0
