metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),51.1,36.3,42.8,44.15,26.25,11.0,33.35,63.4,95.25,454.0,472.5,614.8,719.0
EPS in Rs,0.56,0.59,1.53,1.14,1.0,0.95,0.5,3.39,3.56,10.13,9.99,29.4,
Equity Capital (Rs Cr),25.0,25.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,250000000.0,250000000.0,280000000.0,280000000.0,280000000.0,280000000.0,280000000.0,280000000.0,280000000.0,280000000.0,280000000.0,280000000.0,
Market Cap (Rs Cr),1277.5,907.5,1198.4,1236.2,735.0,308.0,933.8,1775.2,2667.0,12712.0,13230.0,17214.4,19922.0
P/E ratio,91.25,61.53,27.97,38.73,26.25,11.58,66.7,18.7,26.76,44.82,47.3,20.91,23.8
