metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,382.4,388.6,352.4,355.7,445.6,500.9,435.7,608.65,564.35,509.55,515.0
EPS in Rs,11.46,11.52,11.72,11.28,7.93,7.43,6.66,5.28,5.65,5.9,8.2,11.09,
Equity Capital (Rs Cr),1432.0,1432.0,1435.0,1436.0,1436.0,1436.0,1436.0,1437.0,1439.0,1441.0,1445.0,1449.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,1432000000.0,1432000000.0,1435000000.0,1436000000.0,1436000000.0,1436000000.0,1436000000.0,1437000000.0,1439000000.0,1441000000.0,1445000000.0,1449000000.0,
Market Cap (Rs Cr),,,54874.4,55802.96,50604.64,51078.52,63988.16,71979.33,62697.23,87706.46,81548.57,73833.79,74774.0
P/E ratio,,,32.63,34.45,44.44,47.87,66.91,94.87,77.12,103.16,68.82,45.95,46.5
