nse_symbol,market_cap_rs_cr,current_price_rs,stock_pe,fetched_at,status
PGEL,17588.0,613.0,89.5,2026-08-02T12:14:21Z,ok
PIIND,41741.0,2751.0,34.7,2026-08-02T12:14:21Z,ok
PNBHOUSING,27443.0,1053.0,12.0,2026-08-02T12:14:21Z,ok
PTCIL,26592.0,17737.0,262.0,2026-08-02T12:14:21Z,ok
PVRINOX,11102.0,1131.0,35.0,2026-08-02T12:14:21Z,ok
PAGEIND,45034.0,40375.0,57.0,2026-08-02T12:14:21Z,ok
PARADEEP,15295.0,147.0,14.1,2026-08-02T12:14:21Z,ok
PATANJALI,38584.0,355.0,19.2,2026-08-02T12:14:21Z,ok
PERSISTENT,87535.0,5549.0,45.4,2026-08-02T12:14:21Z,ok
PETRONET,42112.0,281.0,10.8,2026-08-02T12:14:21Z,ok
PFIZER,22068.0,4824.0,144.0,2026-08-02T12:14:21Z,ok
PHOENIXLTD,67716.0,1893.0,52.2,2026-08-02T12:14:21Z,ok
PWL,36229.0,125.0,,2026-08-02T12:14:21Z,ok
PIDILITIND,164007.0,1611.0,66.6,2026-08-02T12:14:21Z,ok
PINELABS,16035.0,139.0,124.0,2026-08-02T12:14:21Z,ok
PIRAMALFIN,46594.0,2056.0,104.0,2026-08-02T12:14:21Z,ok
PPLPHARMA,26042.0,196.0,,2026-08-02T12:14:21Z,ok
POLYMED,17251.0,1702.0,52.7,2026-08-02T12:14:21Z,ok
POLYCAB,137191.0,9106.0,47.9,2026-08-02T12:14:21Z,ok
POONAWALLA,40816.0,464.0,51.9,2026-08-02T12:14:21Z,ok
PFC,140040.0,424.0,5.4,2026-08-02T12:14:21Z,ok
POWERGRID,264370.0,284.0,16.6,2026-08-02T12:14:21Z,ok
PREMIERENE,46403.0,1022.0,30.7,2026-08-02T12:14:21Z,ok
PRESTIGE,69615.0,1616.0,61.1,2026-08-02T12:14:21Z,ok
PNB,129537.0,113.0,5.86,2026-08-02T12:14:21Z,ok
RRKABEL,29439.0,2603.0,48.1,2026-08-02T12:14:21Z,ok
RBLBANK,58148.0,376.0,64.7,2026-08-02T12:14:21Z,ok
RECLTD,98206.0,373.0,6.12,2026-08-02T12:14:21Z,ok
RHIM,8024.0,389.0,72.8,2026-08-02T12:14:21Z,ok
RITES,10289.0,214.0,25.1,2026-08-02T12:14:21Z,ok
RADICO,58159.0,4341.0,81.8,2026-08-02T12:14:21Z,ok
RVNL,47013.0,225.0,53.8,2026-08-02T12:14:21Z,ok
RAILTEL,9131.0,284.0,48.7,2026-08-02T12:14:21Z,ok
RAINBOW,15493.0,1525.0,54.1,2026-08-02T12:14:21Z,ok
RKFORGE,11862.0,651.0,103.0,2026-08-02T12:14:21Z,ok
REDINGTON,25146.0,322.0,14.0,2026-08-02T12:14:21Z,ok
RELIANCE,1769785.0,1308.0,23.7,2026-08-02T12:14:21Z,ok
RPOWER,9682.0,23.4,,2026-08-02T12:14:21Z,ok
SBFC,10010.0,90.4,29.0,2026-08-02T12:14:21Z,ok
SBICARD,62823.0,660.0,27.6,2026-08-02T12:14:21Z,ok
SBILIFE,188814.0,1882.0,72.6,2026-08-02T12:14:21Z,ok
SJVN,26966.0,68.6,42.2,2026-08-02T12:14:21Z,ok
SRF,77737.0,2622.0,34.7,2026-08-02T12:14:21Z,ok
SAGILITY,20317.0,43.4,19.8,2026-08-02T12:14:21Z,ok
SAILIFE,27919.0,1315.0,78.7,2026-08-02T12:14:21Z,ok
SAMMAANCAP,18867.0,162.0,,2026-08-02T12:14:21Z,ok
MOTHERSON,159108.0,151.0,37.3,2026-08-02T12:14:21Z,ok
SAPPHIRE,5949.0,185.0,2417.0,2026-08-02T12:14:21Z,ok
SARDAEN,18204.0,517.0,16.2,2026-08-02T12:14:21Z,ok
SAREGAMA,10081.0,523.0,47.3,2026-08-02T12:14:21Z,ok
SCHAEFFLER,63759.0,4079.0,50.9,2026-08-02T12:14:21Z,ok
SCHNEIDER,32405.0,1355.0,145.0,2026-08-02T12:14:21Z,ok
SCI,13576.0,291.0,10.0,2026-08-02T12:14:21Z,ok
SHREECEM,94008.0,26055.0,57.7,2026-08-02T12:14:21Z,ok
SHRIRAMFIN,246283.0,1047.0,21.8,2026-08-02T12:14:21Z,ok
SHYAMMETL,28787.0,1031.0,25.6,2026-08-02T12:14:21Z,ok
ENRIN,115055.0,3231.0,85.3,2026-08-02T12:14:21Z,ok
SIEMENS,133901.0,3760.0,47.7,2026-08-02T12:14:21Z,ok
SIGNATURE,11543.0,820.0,322.0,2026-08-02T12:14:21Z,ok
SOBHA,14673.0,1372.0,63.6,2026-08-02T12:14:21Z,ok
SOLARINDS,166420.0,18391.0,95.4,2026-08-02T12:14:21Z,ok
SONACOMS,47910.0,769.0,65.9,2026-08-02T12:14:21Z,ok
SONATSOFTW,9042.0,322.0,17.7,2026-08-02T12:14:21Z,ok
STARHEALTH,35373.0,601.0,41.9,2026-08-02T12:14:21Z,ok
SBIN,948354.0,1027.0,11.4,2026-08-02T12:14:21Z,ok
SAIL,69818.0,169.0,14.5,2026-08-02T12:14:21Z,ok
SUMICHEM,25471.0,510.0,44.6,2026-08-02T12:14:21Z,ok
SUNPHARMA,477588.0,1990.0,37.8,2026-08-02T12:14:21Z,ok
SUNTV,20045.0,509.0,13.4,2026-08-02T12:14:21Z,ok
SUNDARMFIN,51837.0,4666.0,24.6,2026-08-02T12:14:21Z,ok
SUPREMEIND,44020.0,3465.0,42.6,2026-08-02T12:14:21Z,ok
SPLPETRO,13410.0,713.0,27.2,2026-08-02T12:14:21Z,ok
SUZLON,65455.0,48.0,20.8,2026-08-02T12:14:21Z,ok
SWANCORP,9648.0,308.0,35.2,2026-08-02T12:14:21Z,ok
SWIGGY,78630.0,285.0,,2026-08-02T12:14:21Z,ok
SYNGENE,15578.0,386.0,52.6,2026-08-02T12:14:21Z,ok
SYRMA,26356.0,1367.0,71.0,2026-08-02T12:14:21Z,ok
TARIL,8900.0,296.0,34.4,2026-08-02T12:14:21Z,ok
TBOTEK,16627.0,1531.0,61.8,2026-08-02T12:14:21Z,ok
TVSMOTOR,204910.0,4313.0,59.2,2026-08-02T12:14:21Z,ok
TATACAP,155108.0,365.0,28.5,2026-08-02T12:14:21Z,ok
TATACHEM,17159.0,674.0,,2026-08-02T12:14:21Z,ok
TATACOMM,50060.0,1756.0,48.1,2026-08-02T12:14:21Z,ok
TCS,855895.0,2366.0,15.9,2026-08-02T12:14:21Z,ok
TATACONSUM,107189.0,1083.0,65.0,2026-08-02T12:14:21Z,ok
TATAELXSI,22882.0,3673.0,224.0,2026-08-02T12:14:21Z,ok
TATAINVEST,34377.0,679.0,79.3,2026-08-02T12:14:21Z,ok
TMCV,160860.0,437.0,40.6,2026-08-02T12:14:21Z,ok
TMPV,125116.0,340.0,1.45,2026-08-02T12:14:21Z,ok
TATAPOWER,121647.0,381.0,31.1,2026-08-02T12:14:21Z,ok
TATASTEEL,236800.0,190.0,20.0,2026-08-02T12:14:21Z,ok
TATATECH,30358.0,748.0,46.6,2026-08-02T12:14:21Z,ok
TTML,7810.0,40.0,,2026-08-02T12:14:21Z,ok
TECHM,161841.0,1651.0,30.4,2026-08-02T12:14:21Z,ok
TECHNOE,11401.0,980.0,25.4,2026-08-02T12:14:21Z,ok
TEGA,11160.0,1486.0,78.2,2026-08-02T12:14:21Z,ok
TEJASNET,9130.0,513.0,,2026-08-02T12:14:21Z,ok
TENNIND,21712.0,538.0,34.8,2026-08-02T12:14:21Z,ok
NIACL,28613.0,174.0,37.2,2026-08-02T12:14:21Z,ok
RAMCOCEM,21698.0,918.0,732.0,2026-08-02T12:14:21Z,ok
THERMAX,51309.0,4306.0,93.2,2026-08-02T12:14:21Z,ok
TIMKEN,23659.0,3145.0,57.0,2026-08-02T12:14:21Z,ok
TITAGARH,11113.0,825.0,69.5,2026-08-02T12:14:21Z,ok
TITAN,432814.0,4875.0,84.0,2026-08-02T12:14:21Z,ok
TORNTPHARM,194855.0,5123.0,87.3,2026-08-02T12:14:21Z,ok
TORNTPOWER,71217.0,1413.0,31.1,2026-08-02T12:14:21Z,ok
TRAVELFOOD,17157.0,1303.0,38.9,2026-08-02T12:14:21Z,ok
TRENT,160284.0,3006.0,92.8,2026-08-02T12:14:21Z,ok
TRIDENT,12592.0,24.7,31.9,2026-08-02T12:14:21Z,ok
TRITURBINE,19128.0,602.0,52.9,2026-08-02T12:14:21Z,ok
TIINDIA,53289.0,2753.0,80.6,2026-08-02T12:14:21Z,ok
UCOBANK,32816.0,26.2,13.3,2026-08-02T12:14:21Z,ok
UPL,50997.0,604.0,28.3,2026-08-02T12:14:21Z,ok
UTIAMC,11607.0,903.0,21.7,2026-08-02T12:14:21Z,ok
ULTRACEMCO,350757.0,11903.0,40.7,2026-08-02T12:14:21Z,ok
UNIONBANK,130718.0,171.0,6.33,2026-08-02T12:14:21Z,ok
UBL,37514.0,1419.0,110.0,2026-08-02T12:14:21Z,ok
UNITDSPR,110259.0,1516.0,59.5,2026-08-02T12:14:21Z,ok
UNOMINDA,68170.0,1180.0,56.2,2026-08-02T12:14:21Z,ok
URBANCO,19954.0,129.0,,2026-08-02T12:14:21Z,ok
USHAMART,15114.0,496.0,27.7,2026-08-02T12:14:21Z,ok
VTL,16957.0,586.0,20.0,2026-08-02T12:14:21Z,ok
VBL,149606.0,442.0,44.2,2026-08-02T12:14:21Z,ok
VEDL,103332.0,264.0,9.39,2026-08-02T12:14:21Z,ok
VIJAYA,13847.0,1344.0,80.0,2026-08-02T12:14:21Z,ok
VMM,50169.0,107.0,56.2,2026-08-02T12:14:21Z,ok
IDEA,140954.0,13.0,,2026-08-02T12:14:21Z,ok
VOLTAS,43971.0,1329.0,112.0,2026-08-02T12:14:21Z,ok
WAAREEENER,77096.0,2680.0,19.2,2026-08-02T12:14:21Z,ok
WELCORP,43541.0,1651.0,18.9,2026-08-02T12:14:21Z,ok
WELSPUNLIV,14957.0,156.0,68.7,2026-08-02T12:14:21Z,ok
WHIRLPOOL,10187.0,803.0,32.4,2026-08-02T12:14:21Z,ok
WIPRO,181892.0,184.0,13.8,2026-08-02T12:14:21Z,ok
WOCKPHARMA,31844.0,1960.0,112.0,2026-08-02T12:14:21Z,ok
YESBANK,71470.0,22.8,18.9,2026-08-02T12:14:21Z,ok
ZFCVINDIA,27517.0,2418.0,54.5,2026-08-02T12:14:21Z,ok
ZEEL,11003.0,115.0,39.4,2026-08-02T12:14:21Z,ok
ZENTEC,14665.0,1624.0,80.7,2026-08-02T12:14:21Z,ok
ZENSARTECH,11558.0,508.0,14.5,2026-08-02T12:14:21Z,ok
ZYDUSLIFE,112399.0,1127.0,20.7,2026-08-02T12:14:21Z,ok
ZYDUSWELL,18375.0,578.0,80.3,2026-08-02T12:14:21Z,ok
ECLERX,17357.0,1846.0,24.6,2026-08-02T12:14:21Z,ok
