nse_symbol,market_cap_rs_cr,current_price_rs,stock_pe,fetched_at,status
ABCAPITAL,110623.0,404.0,27.5,2026-08-02T12:14:21Z,ok
ABFRL,7352.0,60.2,,2026-08-02T12:14:21Z,ok
CPPLUS,39963.0,3391.0,109.0,2026-08-02T12:14:21Z,ok
AEGISLOG,44956.0,1281.0,51.7,2026-08-02T12:14:21Z,ok
AEGISVOPAK,32149.0,290.0,104.0,2026-08-02T12:14:21Z,ok
AFCONS,9972.0,271.0,33.2,2026-08-02T12:14:21Z,ok
AFFLE,22334.0,1586.0,49.1,2026-08-02T12:14:21Z,ok
AJANTPHARM,43293.0,3465.0,38.2,2026-08-02T12:14:21Z,ok
ALKEM,68768.0,5752.0,28.2,2026-08-02T12:14:21Z,ok
ABDL,17328.0,620.0,77.7,2026-08-02T12:14:21Z,ok
ARE&M,16664.0,910.0,30.0,2026-08-02T12:14:21Z,ok
AMBER,26241.0,7440.0,133.0,2026-08-02T12:14:21Z,ok
AMBUJACEM,107394.0,432.0,22.8,2026-08-02T12:14:21Z,ok
ANANDRATHI,34432.0,2074.0,74.1,2026-08-02T12:14:21Z,ok
ANANTRAJ,22474.0,624.0,40.5,2026-08-02T12:14:21Z,ok
ANGELONE,27218.0,298.0,26.4,2026-08-02T12:14:21Z,ok
ANTHEM,45574.0,809.0,76.8,2026-08-02T12:14:21Z,ok
ANURAS,13751.0,1208.0,80.8,2026-08-02T12:14:21Z,ok
APARINDS,57656.0,14348.0,47.8,2026-08-02T12:14:21Z,ok
APOLLOHOSP,128788.0,8957.0,65.8,2026-08-02T12:14:21Z,ok
APOLLOTYRE,27192.0,428.0,13.2,2026-08-02T12:14:21Z,ok
APTUS,13081.0,261.0,13.3,2026-08-02T12:14:21Z,ok
ASAHIINDIA,22346.0,877.0,63.2,2026-08-02T12:14:21Z,ok
ASHOKLEY,97612.0,166.0,26.9,2026-08-02T12:14:21Z,ok
ASIANPAINT,263520.0,2747.0,54.0,2026-08-02T12:14:21Z,ok
ASTERDM,71665.0,822.0,176.0,2026-08-02T12:14:21Z,ok
ASTRAL,38917.0,1449.0,70.6,2026-08-02T12:14:21Z,ok
ATHERENERG,49672.0,1260.0,,2026-08-02T12:14:21Z,ok
ATUL,19833.0,6736.0,24.9,2026-08-02T12:14:21Z,ok
AUROPHARMA,91778.0,1580.0,25.9,2026-08-02T12:14:21Z,ok
AIIL,45799.0,539.0,21.8,2026-08-02T12:14:21Z,ok
DMART,255746.0,3921.0,83.6,2026-08-02T12:14:21Z,ok
AXISBANK,382542.0,1230.0,13.8,2026-08-02T12:14:21Z,ok
BEML,14579.0,1750.0,103.0,2026-08-02T12:14:21Z,ok
BLS,9857.0,239.0,14.4,2026-08-02T12:14:21Z,ok
BSE,148509.0,3646.0,58.1,2026-08-02T12:14:21Z,ok
BAJAJ-AUTO,316588.0,11520.0,26.9,2026-08-02T12:14:21Z,ok
BAJFINANCE,710506.0,1141.0,34.7,2026-08-02T12:14:21Z,ok
BAJAJFINSV,324768.0,2029.0,31.6,2026-08-02T12:14:21Z,ok
BAJAJHLDNG,126236.0,11343.0,14.2,2026-08-02T12:14:21Z,ok
BAJAJHFL,71675.0,86.0,26.5,2026-08-02T12:14:21Z,ok
BALKRISIND,47817.0,2474.0,34.0,2026-08-02T12:14:21Z,ok
BALRAMCHIN,12384.0,586.0,32.7,2026-08-02T12:14:21Z,ok
BANDHANBNK,28054.0,174.0,20.7,2026-08-02T12:14:21Z,ok
BANKBARODA,125457.0,243.0,5.68,2026-08-02T12:14:21Z,ok
BANKINDIA,62804.0,138.0,5.33,2026-08-02T12:14:21Z,ok
MAHABANK,61017.0,79.3,8.1,2026-08-02T12:14:21Z,ok
BATAINDIA,8947.0,696.0,53.1,2026-08-02T12:14:21Z,ok
BAYERCROP,19030.0,4234.0,387.0,2026-08-02T12:14:21Z,ok
BELRISE,22895.0,237.0,45.7,2026-08-02T12:14:21Z,ok
BERGEPAINT,60685.0,520.0,53.6,2026-08-02T12:14:21Z,ok
BDL,45934.0,1253.0,109.0,2026-08-02T12:14:21Z,ok
BEL,283510.0,388.0,46.1,2026-08-02T12:14:21Z,ok
BHARATFORG,105170.0,2200.0,93.2,2026-08-02T12:14:21Z,ok
BHEL,141720.0,407.0,58.3,2026-08-02T12:14:21Z,ok
BPCL,138724.0,320.0,8.95,2026-08-02T12:14:21Z,ok
BHARTIARTL,1230536.0,1972.0,46.2,2026-08-02T12:14:21Z,ok
BHARTIHEXA,80375.0,1608.0,47.3,2026-08-02T12:14:21Z,ok
BIKAJI,16088.0,642.0,61.5,2026-08-02T12:14:21Z,ok
GROWW,121940.0,194.0,50.0,2026-08-02T12:14:21Z,ok
BIOCON,69376.0,426.0,178.0,2026-08-02T12:14:21Z,ok
BSOFT,8455.0,302.0,14.2,2026-08-02T12:14:21Z,ok
BLUEDART,12245.0,5160.0,37.8,2026-08-02T12:14:21Z,ok
BLUEJET,11853.0,626.0,84.1,2026-08-02T12:14:21Z,ok
BLUESTARCO,34568.0,1681.0,61.9,2026-08-02T12:14:21Z,ok
BBTC,10446.0,1497.0,8.83,2026-08-02T12:14:21Z,ok
BOSCHLTD,121185.0,41085.0,58.0,2026-08-02T12:14:21Z,ok
FIRSTCRY,11082.0,212.0,,2026-08-02T12:14:21Z,ok
BRIGADE,18924.0,580.0,29.0,2026-08-02T12:14:21Z,ok
BRITANNIA,130466.0,5416.0,51.5,2026-08-02T12:14:21Z,ok
MAPMYINDIA,6471.0,1182.0,62.9,2026-08-02T12:14:21Z,ok
CCL,15426.0,1155.0,35.7,2026-08-02T12:14:21Z,ok
CESC,21947.0,166.0,14.2,2026-08-02T12:14:21Z,ok
CGPOWER,135987.0,863.0,107.0,2026-08-02T12:14:21Z,ok
CIEINDIA,15501.0,409.0,17.3,2026-08-02T12:14:21Z,ok
CRISIL,31883.0,4360.0,36.0,2026-08-02T12:14:21Z,ok
CAMS,19768.0,796.0,44.6,2026-08-02T12:14:21Z,ok
CANFINHOME,10927.0,821.0,9.67,2026-08-02T12:14:21Z,ok
CANBK,113365.0,125.0,5.71,2026-08-02T12:14:21Z,ok
CANHLIFE,13913.0,146.0,106.0,2026-08-02T12:14:21Z,ok
CAPLIPOINT,19131.0,2517.0,29.8,2026-08-02T12:14:21Z,ok
CGCL,22359.0,232.0,19.8,2026-08-02T12:14:21Z,ok
CARBORUNIV,20265.0,1064.0,78.8,2026-08-02T12:14:21Z,ok
CARTRADE,13143.0,2720.0,55.2,2026-08-02T12:14:21Z,ok
CASTROLIND,18320.0,185.0,18.8,2026-08-02T12:14:21Z,ok
CEATLTD,13874.0,3430.0,21.8,2026-08-02T12:14:21Z,ok
CEMPRO,23497.0,1368.0,39.1,2026-08-02T12:14:21Z,ok
CENTRALBK,28032.0,31.0,6.14,2026-08-02T12:14:21Z,ok
CDSL,27860.0,1333.0,59.1,2026-08-02T12:14:21Z,ok
CHALET,17769.0,811.0,33.2,2026-08-02T12:14:21Z,ok
CHAMBLFERT,17585.0,439.0,9.12,2026-08-02T12:14:21Z,ok
CHENNPETRO,18772.0,1261.0,4.5,2026-08-02T12:14:21Z,ok
CHOICEIN,18333.0,823.0,84.2,2026-08-02T12:14:21Z,ok
CHOLAHLDNG,28809.0,1534.0,11.8,2026-08-02T12:14:21Z,ok
CHOLAFIN,157733.0,1850.0,27.4,2026-08-02T12:14:21Z,ok
CIPLA,119012.0,1473.0,33.2,2026-08-02T12:14:21Z,ok
CUB,20460.0,206.0,14.6,2026-08-02T12:14:21Z,ok
CLEAN,7802.0,734.0,33.5,2026-08-02T12:14:21Z,ok
COALINDIA,255229.0,414.0,8.18,2026-08-02T12:14:21Z,ok
COCHINSHIP,37436.0,1423.0,52.2,2026-08-02T12:14:21Z,ok
COFORGE,76227.0,1721.0,39.8,2026-08-02T12:14:21Z,ok
COHANCE,16261.0,425.0,82.4,2026-08-02T12:14:21Z,ok
COLPAL,56467.0,2076.0,131.0,2026-08-02T12:14:21Z,ok
CONCORDBIO,14864.0,1421.0,53.5,2026-08-02T12:14:21Z,ok
CONCOR,40023.0,526.0,32.2,2026-08-02T12:14:21Z,ok
COROMANDEL,61175.0,2074.0,32.8,2026-08-02T12:14:21Z,ok
CRAFTSMAN,25824.0,9874.0,55.1,2026-08-02T12:14:21Z,ok
CREDITACC,25534.0,1593.0,21.1,2026-08-02T12:14:21Z,ok
CROMPTON,16755.0,260.0,50.0,2026-08-02T12:14:21Z,ok
CUMMINSIND,152987.0,5519.0,63.1,2026-08-02T12:14:21Z,ok
CYIENT,9421.0,848.0,23.1,2026-08-02T12:14:21Z,ok
DCMSHRIRAM,16123.0,1034.0,11.8,2026-08-02T12:14:21Z,ok
DLF,163197.0,659.0,39.0,2026-08-02T12:14:21Z,ok
DOMS,13716.0,2260.0,59.6,2026-08-02T12:14:21Z,ok
DABUR,74763.0,421.0,37.7,2026-08-02T12:14:21Z,ok
DALBHARAT,33756.0,1800.0,30.7,2026-08-02T12:14:21Z,ok
DATAPATTNS,23967.0,4281.0,88.7,2026-08-02T12:14:21Z,ok
DEEPAKFERT,19602.0,1553.0,19.9,2026-08-02T12:14:21Z,ok
DEEPAKNTR,22671.0,1662.0,41.1,2026-08-02T12:14:21Z,ok
DELHIVERY,36101.0,482.0,202.0,2026-08-02T12:14:21Z,ok
DEVYANI,14078.0,114.0,,2026-08-02T12:14:21Z,ok
DIVISLAB,213861.0,8056.0,71.8,2026-08-02T12:14:21Z,ok
DIXON,85899.0,14049.0,45.8,2026-08-02T12:14:21Z,ok
LALPATHLAB,31938.0,1905.0,56.8,2026-08-02T12:14:21Z,ok
DRREDDY,95829.0,1148.0,29.7,2026-08-02T12:14:21Z,ok
EIDPARRY,13526.0,760.0,20.6,2026-08-02T12:14:21Z,ok
