metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),163.5,147.0,172.95,142.3,130.1,53.55,74.1,111.6,168.85,264.05,228.53,247.6,272.0
EPS in Rs,17.69,-21.99,7.88,-7.13,4.16,2.01,2.99,15.18,28.82,36.29,40.06,38.38,
Equity Capital (Rs Cr),444.0,462.0,462.0,530.0,530.0,925.0,1036.0,1036.0,1036.0,1036.0,1036.0,1036.0,
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
Shares Outstanding,2220000000.0,2310000000.0,2310000000.0,2650000000.0,2650000000.0,4625000000.0,5180000000.0,5180000000.0,5180000000.0,5180000000.0,5180000000.0,5180000000.0,
Market Cap (Rs Cr),36297.0,33957.0,39951.45,37709.5,34476.5,24766.88,38383.8,57808.8,87464.3,136777.9,118378.54,128256.8,140558.0
P/E ratio,9.24,-6.68,21.95,-19.96,31.27,26.64,24.78,7.35,5.86,7.28,5.7,6.45,7.09
