metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),132.93,143.16,252.44,279.73,131.58,72.87,226.6,561.35,548.7,504.1,1116.2,909.0
EPS in Rs,6.71,11.47,15.22,16.04,6.97,8.5,38.99,56.24,95.86,35.87,73.95,58.4
Equity Capital (Rs Cr),88.0,88.0,88.0,88.0,88.0,89.0,103.0,121.0,126.0,126.0,126.0,126.0
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Shares Outstanding,88000000.0,88000000.0,88000000.0,88000000.0,88000000.0,89000000.0,103000000.0,121000000.0,126000000.0,126000000.0,126000000.0,126000000.0
Market Cap (Rs Cr),1169.78,1259.81,2221.47,2461.62,1157.9,648.54,2333.98,6792.34,6913.62,6351.66,14064.12,11453.4
P/E ratio,19.81,12.48,16.59,17.44,18.88,8.57,5.81,9.98,5.72,14.05,15.09,15.57
