metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),42.53,41.91,57.35,63.47,43.3,10.87,31.2,24.2,23.63,79.27,81.89,77.52,94.8
EPS in Rs,1.03,1.07,1.31,1.4,1.39,0.29,0.84,0.83,0.99,1.49,2.0,2.67,
Equity Capital (Rs Cr),120.0,120.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,270.0,270.0,
Face Value (Rs),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Shares Outstanding,1200000000.0,1200000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,1800000000.0,2700000000.0,2700000000.0,
Market Cap (Rs Cr),5103.6,5029.2,10323.0,11424.6,7794.0,1956.6,5616.0,4356.0,4253.4,14268.6,22110.3,20930.4,25596.0
P/E ratio,41.29,39.17,43.78,45.34,31.15,37.48,37.14,29.16,23.87,53.2,40.95,29.03,38.7
