metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Stock Price (Rs),83.05,71.85,112.1,726.1,444.25,127.25,512.0,502.85,262.55,603.55,477.95,616.7
EPS in Rs,2.95,4.24,3.61,52.82,173.8,2.3,-1.64,25.83,10.2,41.36,23.65,8.96
Equity Capital (Rs Cr),39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Face Value (Rs),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Shares Outstanding,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0,195000000.0
Market Cap (Rs Cr),1619.47,1401.07,2185.95,14158.95,8662.88,2481.38,9984.0,9805.58,5119.73,11769.22,9320.02,12025.65
P/E ratio,28.15,16.95,31.05,13.75,2.56,55.33,-312.2,19.47,25.74,14.59,20.21,68.83
