metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),67.4,67.4,106.65,109.85,74.3,23.15,38.85,41.6,52.55,218.55,134.44,179.84,157.0
EPS in Rs,-10.29,4.7,19.81,11.37,1.94,-19.14,-4.36,16.88,15.15,20.52,0.32,10.98,
Equity Capital (Rs Cr),1753.0,1753.0,1753.0,1753.0,1753.0,1753.0,1753.0,1753.0,1753.0,1753.0,1753.0,1753.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,
Market Cap (Rs Cr),11815.22,11815.22,18695.74,19256.71,13024.79,4058.2,6810.4,7292.48,9212.01,38311.82,23567.33,31525.95,27507.0
P/E ratio,-6.55,14.34,5.38,9.66,38.3,-1.21,-8.91,2.46,3.47,10.65,420.12,16.38,14.3
