metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Live
Stock Price (Rs),,,,66.3,44.3,20.0,43.85,32.75,43.25,187.25,199.45,159.58,195.0
EPS in Rs,383.8,3.91,4.21,5.04,5.89,8.53,7.89,8.57,8.5,10.57,13.53,20.15,
Equity Capital (Rs Cr),2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,
Face Value (Rs),10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
Shares Outstanding,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,2002000000.0,
Market Cap (Rs Cr),,,,13273.26,8868.86,4004.0,8778.77,6556.55,8658.65,37487.45,39929.89,31947.92,39057.0
P/E ratio,,,,13.15,7.52,2.34,5.56,3.82,5.09,17.72,14.74,7.92,9.18
